DATE,Chl
07/18/2013,0.35
07/18/2013,0.17
07/18/2013,0.16
10/18/2013,0.23
10/18/2013,
10/18/2013,
01/16/2014,0.1
01/16/2014,0.09
01/16/2014,0.07
04/16/2014,0.34
04/16/2014,0.23
04/16/2014,0.33
05/16/2014,
05/16/2014,
05/16/2014,
06/18/2014,
06/18/2014,
06/18/2014,
07/17/2014,0.29
07/17/2014,0.4
07/17/2014,0.11
08/13/2014,
08/13/2014,
08/13/2014,
09/26/2014,
09/26/2014,
09/26/2014,
10/16/2014,0.06
10/16/2014,0.03
10/16/2014,0.1
12/18/2014,
12/18/2014,
12/18/2014,
01/29/2015,0.17
01/29/2015,0.23
01/29/2015,0.12
02/19/2015,
02/19/2015,
02/19/2015,
03/18/2015,
03/18/2015,
03/18/2015,
04/16/2015,0.12
04/16/2015,0.15
04/16/2015,0.05
05/20/2015,
05/20/2015,
05/20/2015,
06/24/2015,
06/24/2015,
06/24/2015,
07/23/2015,0.15
07/23/2015,0.14
07/23/2015,0.16
08/13/2015,
08/13/2015,
08/13/2015,
09/17/2015,
09/17/2015,
09/17/2015,
10/08/2015,0.08
10/08/2015,0.1
10/08/2015,0.09
11/19/2015,
11/19/2015,
11/19/2015,
12/10/2015,
12/10/2015,
12/10/2015,
01/21/2016,0.06
01/21/2016,0.09
01/21/2016,0.11
02/17/2016,
02/17/2016,
02/17/2016,
03/16/2016,
03/16/2016,
03/16/2016,
04/21/2016,0.06
04/21/2016,0.08
04/21/2016,0.08
05/18/2016,
05/18/2016,
05/18/2016,
06/15/2016,
06/15/2016,
06/15/2016,
07/13/2016,0.23
07/13/2016,0.12
07/13/2016,0.11
