DATE,Chl
07/18/2013,40.1
07/18/2013,19.54
07/18/2013,18.44
10/18/2013,26.01
10/18/2013,
10/18/2013,
01/16/2014,11.07
01/16/2014,9.77
01/16/2014,7.99
04/16/2014,38.6
04/16/2014,26.16
04/16/2014,36.98
05/16/2014,
05/16/2014,
05/16/2014,
06/18/2014,
06/18/2014,
06/18/2014,
07/17/2014,33.17
07/17/2014,45.63
07/17/2014,12.08
08/13/2014,
08/13/2014,
08/13/2014,
09/26/2014,
09/26/2014,
09/26/2014,
10/16/2014,6.91
10/16/2014,3.73
10/16/2014,11
12/18/2014,
12/18/2014,
12/18/2014,
01/29/2015,18.79
01/29/2015,25.55
01/29/2015,13.63
02/19/2015,
02/19/2015,
02/19/2015,
03/18/2015,
03/18/2015,
03/18/2015,
04/16/2015,13.1
04/16/2015,17.48
04/16/2015,5.86
05/20/2015,
05/20/2015,
05/20/2015,
06/24/2015,
06/24/2015,
06/24/2015,
07/23/2015,16.94
07/23/2015,15.77
07/23/2015,18.13
08/13/2015,
08/13/2015,
08/13/2015,
09/17/2015,
09/17/2015,
09/17/2015,
10/08/2015,9.38
10/08/2015,11.68
10/08/2015,9.66
11/19/2015,
11/19/2015,
11/19/2015,
12/10/2015,
12/10/2015,
12/10/2015,
01/21/2016,6.72
01/21/2016,10.05
01/21/2016,12.33
02/17/2016,
02/17/2016,
02/17/2016,
03/16/2016,
03/16/2016,
03/16/2016,
04/21/2016,6.95
04/21/2016,8.88
04/21/2016,8.74
05/18/2016,
05/18/2016,
05/18/2016,
06/15/2016,
06/15/2016,
06/15/2016,
07/13/2016,25.43
07/13/2016,13.31
07/13/2016,12.24
