Bay,DATE,REP,N
BB,04/27/1988,1,241
BB,04/27/1988,2,230
BB,04/27/1988,3,171
BB,07/23/1988,1,41
BB,07/23/1988,2,37
BB,07/23/1988,3,50
BB,11/30/1988,1,27
BB,11/30/1988,2,20
BB,11/30/1988,3,11
BB,03/23/1989,1,4
BB,03/23/1989,2,6
BB,03/23/1989,3,2
BB,03/23/1989,1,17
BB,03/23/1989,2,17
BB,03/23/1989,3,19
BB,05/16/1989,1,14
BB,05/16/1989,2,26
BB,05/16/1989,3,27
BB,05/16/1989,1,7
BB,05/16/1989,2,21
BB,05/16/1989,3,27
BB,07/11/1989,1,529
BB,07/11/1989,2,493
BB,07/11/1989,3,445
BB,07/11/1989,1,39
BB,07/11/1989,2,27
BB,07/11/1989,3,35
BB,09/12/1989,1,51
BB,09/12/1989,2,67
BB,09/12/1989,3,61
BB,09/12/1989,1,31
BB,09/12/1989,2,35
BB,09/12/1989,3,25
BB,11/07/1989,1,129
BB,11/07/1989,2,150
BB,11/07/1989,3,109
BB,11/07/1989,1,351
BB,11/07/1989,2,159
BB,11/07/1989,3,124
BB,01/17/1990,1,224
BB,01/17/1990,2,203
BB,01/17/1990,3,211
BB,01/17/1990,1,333
BB,01/17/1990,2,422
BB,01/17/1990,3,410
BB,04/17/1990,1,52
BB,04/17/1990,2,32
BB,04/17/1990,3,48
BB,04/17/1990,1,15
BB,04/17/1990,2,14
BB,04/17/1990,3,9
BB,07/27/1990,1,9
BB,07/27/1990,2,20
BB,07/27/1990,3,11
BB,07/27/1990,1,2
BB,07/27/1990,2,6
BB,07/27/1990,3,9
BB,10/08/1990,1,3
BB,10/08/1990,2,0
BB,10/08/1990,3,0
BB,10/08/1990,1,0
BB,10/08/1990,2,0
BB,10/08/1990,3,0
BB,01/17/1991,1,127
BB,01/17/1991,2,89
BB,01/17/1991,3,85
BB,01/17/1991,1,9
BB,01/17/1991,2,35
BB,01/17/1991,3,32
BB,02/22/1991,1,41
BB,02/22/1991,2,35
BB,02/22/1991,3,16
BB,02/22/1991,1,9
BB,02/22/1991,2,49
BB,02/22/1991,3,28
BB,03/18/1991,1,29
BB,03/18/1991,2,26
BB,03/18/1991,3,26
BB,03/18/1991,1,35
BB,03/18/1991,2,23
BB,03/18/1991,3,40
BB,04/17/1991,1,91
BB,04/17/1991,2,78
BB,04/17/1991,3,52
BB,04/17/1991,1,51
BB,04/17/1991,2,59
BB,04/17/1991,3,44
BB,05/20/1991,1,8
BB,05/20/1991,2,5
BB,05/20/1991,3,21
BB,06/23/1991,1,8
BB,06/23/1991,2,3
BB,06/23/1991,3,4
BB,07/11/1991,1,49
BB,07/11/1991,2,16
BB,07/11/1991,3,26
BB,07/11/1991,1,5
BB,07/11/1991,2,8
BB,07/11/1991,3,13
BB,08/13/1991,1,55
BB,08/13/1991,2,41
BB,08/13/1991,3,46
BB,09/17/1991,1,24
BB,09/17/1991,2,29
BB,09/17/1991,3,18
BB,10/17/1991,1,17
BB,10/17/1991,2,10
BB,10/17/1991,3,17
BB,10/17/1991,1,25
BB,10/17/1991,2,12
BB,10/17/1991,3,21
BB,11/19/1991,1,44
BB,11/19/1991,2,40
BB,11/19/1991,3,34
BB,12/16/1991,1,58
BB,12/16/1991,2,64
BB,12/16/1991,3,69
BB,01/21/1992,1,56
BB,01/21/1992,2,32
BB,01/21/1992,3,46
BB,01/21/1992,1,15
BB,01/21/1992,2,18
BB,01/21/1992,3,13
BB,04/08/1992,1,33
BB,04/08/1992,2,39
BB,04/08/1992,3,33
BB,04/23/1992,1,19
BB,04/23/1992,2,11
BB,04/23/1992,3,16
BB,07/08/1992,1,9
BB,07/08/1992,2,15
BB,07/08/1992,3,14
BB,07/08/1992,1,12
BB,07/08/1992,2,4
BB,07/08/1992,3,2
BB,10/20/1992,1,25
BB,10/20/1992,2,8
BB,10/20/1992,3,16
BB,10/20/1992,1,28
BB,10/20/1992,2,25
BB,10/20/1992,3,21
BB,01/06/1993,1,78
BB,01/06/1993,2,133
BB,01/06/1993,3,159
BB,01/06/1993,1,31
BB,01/06/1993,2,39
BB,01/06/1993,3,44
BB,04/06/1993,1,10
BB,04/06/1993,2,3
BB,04/06/1993,3,13
BB,04/06/1993,1,27
BB,04/06/1993,2,11
BB,04/06/1993,3,13
BB,07/07/1993,1,2
BB,07/07/1993,2,1
BB,07/07/1993,3,4
BB,07/07/1993,1,66
BB,07/07/1993,2,38
BB,07/07/1993,3,38
BB,11/18/1993,1,7
BB,11/18/1993,2,26
BB,11/18/1993,3,13
BB,11/18/1993,1,193
BB,11/18/1993,2,107
BB,11/18/1993,3,147
BB,01/10/1994,1,9
BB,01/10/1994,2,8
BB,01/10/1994,3,13
BB,01/10/1994,1,152
BB,01/10/1994,2,183
BB,01/10/1994,3,119
BB,04/05/1994,1,5
BB,04/05/1994,2,2
BB,04/05/1994,3,12
BB,04/05/1994,1,66
BB,04/05/1994,2,97
BB,04/05/1994,3,106
BB,07/06/1994,1,35
BB,07/06/1994,2,101
BB,07/06/1994,3,31
BB,07/06/1994,1,43
BB,07/06/1994,2,14
BB,07/06/1994,3,28
BB,10/19/1994,1,0
BB,10/19/1994,2,0
BB,10/19/1994,3,1
BB,10/19/1994,1,31
BB,10/19/1994,2,27
BB,10/19/1994,3,52
BB,01/09/1995,1,74
BB,01/09/1995,2,93
BB,01/09/1995,3,58
BB,01/09/1995,1,30
BB,01/09/1995,2,14
BB,01/09/1995,3,27
BB,04/03/1995,1,60
BB,04/03/1995,2,25
BB,04/03/1995,3,19
BB,04/03/1995,1,33
BB,04/03/1995,2,11
BB,04/03/1995,3,32
BB,07/05/1995,1,72
BB,07/05/1995,2,65
BB,07/05/1995,3,57
BB,07/05/1995,1,41
BB,07/05/1995,2,15
BB,07/05/1995,3,42
BB,10/02/1995,1,25
BB,10/02/1995,2,24
BB,10/02/1995,3,26
BB,10/02/1995,1,159
BB,10/02/1995,2,109
BB,10/02/1995,3,127
BB,01/05/1996,1,21
BB,01/05/1996,2,31
BB,01/05/1996,3,27
BB,01/05/1996,1,42
BB,01/05/1996,2,24
BB,01/05/1996,3,26
BB,04/01/1996,1,94
BB,04/01/1996,2,76
BB,04/01/1996,3,96
BB,04/01/1996,1,33
BB,04/01/1996,2,17
BB,04/01/1996,3,21
BB,07/11/1996,1,40
BB,07/11/1996,2,42
BB,07/11/1996,3,22
BB,07/11/1996,1,2
BB,07/11/1996,2,2
BB,07/11/1996,3,1
BB,10/16/1996,1,126
BB,10/16/1996,2,66
BB,10/16/1996,3,139
BB,10/16/1996,1,5
BB,10/16/1996,2,3
BB,10/16/1996,3,4
BB,01/10/1997,1,120
BB,01/10/1997,2,82
BB,01/10/1997,3,69
BB,01/10/1997,1,45
BB,01/10/1997,2,19
BB,01/10/1997,3,19
BB,04/16/1997,1,11
BB,04/16/1997,2,3
BB,04/16/1997,3,11
BB,04/16/1997,1,13
BB,04/16/1997,2,18
BB,04/16/1997,3,10
BB,07/11/1997,1,21
BB,07/11/1997,2,18
BB,07/11/1997,3,26
BB,07/11/1997,1,2
BB,07/11/1997,2,20
BB,07/11/1997,3,1
BB,10/20/1997,1,16
BB,10/20/1997,2,15
BB,10/20/1997,3,10
BB,10/20/1997,1,1
BB,10/20/1997,2,0
BB,10/20/1997,3,1
BB,01/08/1998,1,13
BB,01/08/1998,2,56
BB,01/08/1998,3,51
BB,01/08/1998,1,11
BB,01/08/1998,2,10
BB,01/08/1998,3,22
BB,04/06/1998,1,12
BB,04/06/1998,2,7
BB,04/06/1998,3,17
BB,04/06/1998,1,43
BB,04/06/1998,2,39
BB,04/06/1998,3,30
BB,07/01/1998,1,26
BB,07/01/1998,2,48
BB,07/01/1998,3,18
BB,07/01/1998,1,16
BB,07/01/1998,2,7
BB,07/01/1998,3,9
BB,10/14/1998,1,8
BB,10/14/1998,2,7
BB,10/14/1998,3,17
BB,10/14/1998,1,0
BB,10/14/1998,2,6
BB,10/14/1998,3,1
BB,01/07/1999,1,18
BB,01/07/1999,2,11
BB,01/07/1999,3,9
BB,01/07/1999,1,38
BB,01/07/1999,2,45
BB,01/07/1999,3,57
BB,04/08/1999,1,16
BB,04/08/1999,2,20
BB,04/08/1999,3,20
BB,04/08/1999,1,25
BB,04/08/1999,2,23
BB,04/08/1999,3,43
BB,07/05/1999,1,90
BB,07/05/1999,2,80
BB,07/05/1999,3,104
BB,07/05/1999,1,12
BB,07/05/1999,2,7
BB,07/05/1999,3,25
BB,11/03/1999,1,20
BB,11/03/1999,2,26
BB,11/03/1999,3,19
BB,11/03/1999,1,28
BB,11/03/1999,2,24
BB,11/03/1999,3,24
BB,01/18/2000,1,35
BB,01/18/2000,2,20
BB,01/18/2000,3,10
BB,01/18/2000,1,63
BB,01/18/2000,2,53
BB,01/18/2000,3,67
BB,04/14/2000,1,24
BB,04/14/2000,2,56
BB,04/14/2000,3,36
BB,04/14/2000,1,18
BB,04/14/2000,2,14
BB,04/14/2000,3,19
BB,07/05/2000,1,3
BB,07/05/2000,2,27
BB,07/05/2000,3,28
BB,07/05/2000,1,15
BB,07/05/2000,2,8
BB,07/05/2000,3,2
