DATE,DIN,DON
07/18/2013,0.0924,1.594350814
07/18/2013,0.17276,1.320086581
07/18/2013,0.1988,1.230556457
10/18/2013,0.04144,1.691836262
01/16/2014,0.06468,1.674111853
01/16/2014,0.05796,2.10558055
01/16/2014,0.07392,1.40464073
04/16/2014,0.10052,1.78326061
04/16/2014,0.0938,1.665589881
04/16/2014,0.07476,1.892018852
07/17/2014,0.049,1.938982161
07/17/2014,0.07112,1.77117753
07/17/2014,0.05572,1.437127756
10/16/2014,0.03024,2.502586405
10/16/2014,0.2114,2.745834576
10/16/2014,0.02268,2.515895327
01/29/2015,0.021,1.729984655
01/29/2015,0.0182,1.511273625
01/29/2015,0.05376,1.531582852
04/16/2015,0.036372,1.625943782
04/16/2015,0.02989,1.604528705
04/16/2015,0.026474,1.603623217
07/23/2015,0.489552,1.801352525
07/23/2015,0.292068,1.668533024
07/23/2015,0.197302,1.368304518
10/08/2015,0.084182,1.587323375
10/08/2015,0.0756,1.907569724
10/08/2015,0.079282,1.73287837
01/21/2016,0.089936,-0.089936
01/21/2016,0.084448,2.063686856
01/21/2016,0.089054,1.714338628
04/21/2016,0.153874,1.744352991
04/21/2016,0.08673,2.003380736
04/21/2016,0.156338,2.11522353
07/13/2016,0.158676,1.828209826
07/13/2016,0.327012,1.69048221
07/13/2016,0.319942,1.757080128
