Bay,DATE,DIN,DON,Temp
BB,07/18/2013,0.0924,1.5943508139,27.10
BB,07/18/2013,0.17276,1.3200865808,27.60
BB,07/18/2013,0.1988,1.2305564572,27.20
BB,10/18/2013,0.04144,1.6918362617,25.30
BB,01/16/2014,0.06468,1.6741118527,14.60
BB,01/16/2014,0.05796,2.1055805504,13.80
BB,01/16/2014,0.07392,1.4046407299,13.70
BB,04/16/2014,0.10052,1.7832606102,18.20
BB,04/16/2014,0.0938,1.6655898807,19.40
BB,04/16/2014,0.07476,1.8920188519,18.10
BB,07/17/2014,0.049,1.9389821609,29.30
BB,07/17/2014,0.07112,1.77117753,28.00
BB,07/17/2014,0.05572,1.4371277558,30.10
BB,10/16/2014,0.03024,2.5025864052,23.10
BB,10/16/2014,0.2114,2.7458345763,23.50
BB,10/16/2014,0.02268,2.515895327,23.20
BB,01/29/2015,0.021,1.7299846547,15.60
BB,01/29/2015,0.0182,1.511273625,15.90
BB,01/29/2015,0.05376,1.5315828519,15.60
BB,04/16/2015,0.036372,1.6259437821,23.50
BB,04/16/2015,0.02989,1.6045287054,23.60
BB,04/16/2015,0.026474,1.6036232165,23.60
BB,07/23/2015,0.489552,1.8013525251,29.00
BB,07/23/2015,0.292068,1.668533024,29.30
BB,07/23/2015,0.197302,1.3683045178,29.90
BB,10/08/2015,0.084182,1.5873233745,26.80
BB,10/08/2015,0.0756,1.9075697235,26.80
BB,10/08/2015,0.079282,1.7328783697,26.70
BB,01/21/2016,0.089936,-0.089936,16.80
BB,01/21/2016,0.084448,2.0636868556,17.40
BB,01/21/2016,0.089054,1.7143386278,17.60
BB,04/21/2016,0.153874,1.7443529907,25.50
BB,04/21/2016,0.08673,2.0033807358,25.10
BB,04/21/2016,0.156338,2.1152235304,25.40
BB,07/13/2016,0.158676,1.8282098255,29.10
BB,07/13/2016,0.327012,1.6904822099,29.20
BB,07/13/2016,0.319942,1.757080128,29.40
