DATE,Chl
07/02/2013,0.07
07/02/2013,0.09
07/02/2013,0.07
10/08/2013,0.05
10/08/2013,0.03
10/08/2013,0.06
01/14/2014,0.02
01/14/2014,0.01
01/14/2014,0.01
04/10/2014,0.06
04/10/2014,0.02
04/10/2014,0.07
07/02/2014,0.06
07/02/2014,0.15
07/02/2014,0.1
10/15/2014,0.06
10/15/2014,0.1
10/15/2014,0.09
10/16/2014,
10/16/2014,
10/16/2014,
01/06/2015,0.05
01/06/2015,0.03
01/06/2015,0.03
04/06/2015,0.1
04/06/2015,0.08
04/06/2015,0.05
07/28/2015,0.11
07/28/2015,0.12
07/28/2015,0.08
10/01/2015,0.08
10/01/2015,0.06
10/01/2015,0.09
01/15/2016,0.03
01/15/2016,0.04
01/15/2016,0.06
04/12/2016,0.06
04/12/2016,0.08
04/12/2016,0.04
07/18/2016,0.1
07/18/2016,0.07
07/18/2016,0.07
