DATE,Chl
07/02/2013,7.74
07/02/2013,9.83
07/02/2013,7.61
10/08/2013,5.81
10/08/2013,3.21
10/08/2013,6.44
01/14/2014,1.73
01/14/2014,1.6
01/14/2014,0.81
04/10/2014,6.98
04/10/2014,2.7
04/10/2014,7.6
07/02/2014,7.04
07/02/2014,17.42
07/02/2014,11.01
10/15/2014,7.01
10/15/2014,11.58
10/15/2014,10.07
10/16/2014,
10/16/2014,
10/16/2014,
01/06/2015,5.24
01/06/2015,3.49
01/06/2015,2.96
04/06/2015,11.74
04/06/2015,8.88
04/06/2015,5.16
07/28/2015,12.21
07/28/2015,13.52
07/28/2015,9.51
10/01/2015,8.84
10/01/2015,7.19
10/01/2015,10.28
01/15/2016,3.49
01/15/2016,4.13
01/15/2016,6.82
04/12/2016,6.63
04/12/2016,8.75
04/12/2016,4.92
07/18/2016,10.99
07/18/2016,7.42
07/18/2016,7.39
