Bay,DATE,REP,N
CC,10/19/1987,1,35
CC,10/19/1987,2,49
CC,10/19/1987,3,51
CC,10/22/1987,1,34
CC,10/22/1987,2,40
CC,10/22/1987,3,38
CC,12/07/1987,1,19
CC,12/07/1987,2,37
CC,12/07/1987,3,16
CC,12/10/1987,1,47
CC,12/10/1987,2,48
CC,12/10/1987,3,750
CC,02/15/1988,1,24
CC,02/15/1988,2,23
CC,02/15/1988,3,14
CC,02/18/1988,1,117
CC,02/18/1988,2,312
CC,02/18/1988,3,76
CC,04/11/1988,1,69
CC,04/11/1988,2,68
CC,04/11/1988,3,60
CC,04/13/1988,1,33
CC,04/13/1988,2,36
CC,04/13/1988,3,30
CC,04/14/1988,1,89
CC,04/14/1988,2,94
CC,04/14/1988,3,59
CC,05/09/1988,1,43
CC,05/09/1988,2,42
CC,05/09/1988,3,63
CC,05/12/1988,1,45
CC,05/12/1988,2,32
CC,05/12/1988,3,38
CC,07/26/1988,1,27
CC,07/26/1988,2,19
CC,07/26/1988,3,21
CC,07/26/1988,1,19
CC,07/26/1988,2,78
CC,07/26/1988,3,28
CC,07/30/1990,1,26
CC,07/30/1990,2,53
CC,07/30/1990,3,47
CC,07/30/1990,1,0
CC,07/30/1990,2,0
CC,07/30/1990,3,0
CC,10/12/1990,1,51
CC,10/15/1990,1,66
CC,10/15/1990,2,130
CC,10/15/1990,3,104
CC,10/15/1990,1,2
CC,10/15/1990,2,2
CC,10/15/1990,3,3
CC,01/22/1991,1,56
CC,01/22/1991,2,54
CC,01/22/1991,3,53
CC,01/22/1991,1,48
CC,01/22/1991,2,23
CC,01/22/1991,3,24
CC,04/11/1991,1,73
CC,04/11/1991,2,59
CC,04/11/1991,3,63
CC,04/11/1991,1,58
CC,04/11/1991,2,46
CC,04/11/1991,3,41
CC,04/11/1991,1,114
CC,04/11/1991,2,150
CC,04/11/1991,3,94
CC,07/16/1991,1,32
CC,07/16/1991,2,41
CC,07/16/1991,3,28
CC,07/16/1991,1,11
CC,07/16/1991,2,8
CC,07/16/1991,3,6
CC,07/16/1991,1,84
CC,07/16/1991,2,66
CC,07/16/1991,3,71
CC,10/16/1991,1,41
CC,10/16/1991,2,64
CC,10/16/1991,3,69
CC,10/16/1991,1,8
CC,10/16/1991,2,7
CC,10/16/1991,3,7
CC,10/16/1991,1,72
CC,10/16/1991,2,48
CC,10/16/1991,3,53
CC,01/14/1992,1,31
CC,01/14/1992,2,19
CC,01/14/1992,3,30
CC,01/14/1992,1,15
CC,01/14/1992,2,23
CC,01/14/1992,3,19
CC,01/14/1992,1,37
CC,01/14/1992,2,55
CC,01/14/1992,3,36
CC,04/07/1992,1,18
CC,04/07/1992,2,35
CC,04/07/1992,3,41
CC,04/07/1992,1,16
CC,04/07/1992,2,13
CC,04/07/1992,3,8
CC,04/07/1992,1,124
CC,04/07/1992,2,57
CC,04/07/1992,3,85
CC,07/07/1992,1,27
CC,07/07/1992,2,22
CC,07/07/1992,3,36
CC,07/07/1992,1,6
CC,07/07/1992,2,5
CC,07/07/1992,3,14
CC,07/07/1992,1,26
CC,07/07/1992,2,33
CC,07/07/1992,3,39
CC,10/09/1992,1,172
CC,10/09/1992,2,136
CC,10/09/1992,3,169
CC,10/09/1992,1,192
CC,10/09/1992,2,192
CC,10/09/1992,3,206
CC,10/09/1992,1,66
CC,10/09/1992,2,30
CC,10/09/1992,3,91
CC,01/15/1993,1,57
CC,01/15/1993,2,37
CC,01/15/1993,3,45
CC,01/15/1993,1,15
CC,01/15/1993,2,29
CC,01/15/1993,3,18
CC,01/15/1993,1,44
CC,01/15/1993,2,35
CC,01/15/1993,3,92
CC,04/09/1993,1,30
CC,04/09/1993,2,33
CC,04/09/1993,3,36
CC,04/09/1993,1,55
CC,04/09/1993,2,56
CC,04/09/1993,3,102
CC,04/09/1993,1,94
CC,04/09/1993,2,57
CC,04/09/1993,3,64
CC,07/10/1993,1,29
CC,07/10/1993,2,15
CC,07/10/1993,3,15
CC,07/10/1993,1,16
CC,07/10/1993,2,16
CC,07/10/1993,3,22
CC,07/10/1993,1,79
CC,07/10/1993,2,95
CC,07/10/1993,3,113
CC,10/12/1993,1,35
CC,10/12/1993,2,48
CC,10/12/1993,3,61
CC,10/12/1993,1,13
CC,10/12/1993,2,13
CC,10/12/1993,3,24
CC,10/12/1993,1,36
CC,10/12/1993,2,67
CC,10/12/1993,3,23
CC,01/12/1994,1,38
CC,01/12/1994,2,55
CC,01/12/1994,3,29
CC,01/12/1994,1,112
CC,01/12/1994,2,126
CC,01/12/1994,3,111
CC,01/12/1994,1,103
CC,01/12/1994,2,79
CC,01/12/1994,3,136
CC,04/08/1994,1,42
CC,04/08/1994,2,56
CC,04/08/1994,3,31
CC,04/08/1994,1,37
CC,04/08/1994,2,35
CC,04/08/1994,3,77
CC,04/08/1994,1,109
CC,04/08/1994,2,107
CC,04/08/1994,3,95
CC,07/05/1994,1,44
CC,07/05/1994,2,30
CC,07/05/1994,3,54
CC,07/05/1994,1,20
CC,07/05/1994,2,23
CC,07/05/1994,3,10
CC,07/05/1994,1,144
CC,07/05/1994,2,95
CC,07/05/1994,3,77
CC,10/21/1994,1,57
CC,10/21/1994,2,27
CC,10/21/1994,3,53
CC,10/21/1994,1,21
CC,10/21/1994,2,23
CC,10/21/1994,3,26
CC,10/21/1994,1,110
CC,10/21/1994,2,83
CC,10/21/1994,3,90
CC,01/12/1995,1,30
CC,01/12/1995,2,37
CC,01/12/1995,3,66
CC,01/12/1995,1,171
CC,01/12/1995,2,164
CC,01/12/1995,3,88
CC,01/12/1995,1,112
CC,01/12/1995,2,176
CC,01/12/1995,3,155
CC,04/07/1995,1,156
CC,04/07/1995,2,32
CC,04/07/1995,3,58
CC,04/07/1995,1,104
CC,04/07/1995,2,129
CC,04/07/1995,3,113
CC,04/07/1995,1,159
CC,04/07/1995,2,108
CC,04/07/1995,3,147
CC,07/07/1995,1,41
CC,07/07/1995,2,53
CC,07/07/1995,3,46
CC,07/07/1995,1,21
CC,07/07/1995,2,28
CC,07/07/1995,3,33
CC,07/07/1995,1,95
CC,07/07/1995,2,213
CC,07/07/1995,3,93
CC,10/06/1995,1,93
CC,10/06/1995,2,25
CC,10/06/1995,3,108
CC,10/06/1995,1,26
CC,10/06/1995,2,50
CC,10/06/1995,3,32
CC,10/06/1995,1,88
CC,10/06/1995,2,138
CC,10/06/1995,3,151
CC,01/04/1996,1,44
CC,01/04/1996,2,58
CC,01/04/1996,3,31
CC,01/04/1996,1,35
CC,01/04/1996,2,58
CC,01/04/1996,3,44
CC,01/04/1996,1,167
CC,01/04/1996,2,145
CC,01/04/1996,3,188
CC,04/03/1996,1,64
CC,04/03/1996,2,59
CC,04/03/1996,3,71
CC,04/03/1996,1,17
CC,04/03/1996,2,17
CC,04/03/1996,3,19
CC,04/03/1996,1,111
CC,04/03/1996,2,97
CC,04/03/1996,3,105
CC,07/08/1996,1,35
CC,07/08/1996,2,31
CC,07/08/1996,3,25
CC,07/08/1996,1,1
CC,07/08/1996,2,3
CC,07/08/1996,3,4
CC,07/08/1996,1,133
CC,07/08/1996,2,96
CC,07/08/1996,3,166
CC,10/26/1996,1,79
CC,10/26/1996,2,20
CC,10/26/1996,3,93
CC,10/26/1996,4,47
CC,10/26/1996,5,18
CC,10/27/1996,1,14
CC,10/27/1996,2,14
CC,10/27/1996,3,8
CC,10/27/1996,4,12
CC,10/27/1996,5,12
CC,10/27/1996,1,110
CC,10/27/1996,2,82
CC,10/27/1996,3,69
CC,10/27/1996,4,167
CC,10/27/1996,5,41
CC,11/01/1996,1,47
CC,11/01/1996,2,9
CC,11/01/1996,3,19
CC,11/01/1996,4,30
CC,11/01/1996,5,15
CC,11/01/1996,6,14
CC,11/01/1996,7,18
CC,11/01/1996,8,12
CC,11/01/1996,9,11
CC,11/01/1996,10,13
CC,11/01/1996,11,7
CC,11/01/1996,1,63
CC,11/01/1996,2,103
CC,11/01/1996,3,68
CC,11/01/1996,4,207
CC,11/01/1996,5,127
CC,11/01/1996,6,86
CC,11/01/1996,7,35
CC,11/01/1996,8,25
CC,11/01/1996,9,85
CC,11/01/1996,10,26
CC,11/01/1996,11,16
CC,01/21/1997,1,43
CC,01/21/1997,2,29
CC,01/21/1997,3,13
CC,01/21/1997,1,132
CC,01/21/1997,2,73
CC,01/21/1997,3,114
CC,01/21/1997,1,135
CC,01/21/1997,2,71
CC,01/21/1997,3,117
CC,04/14/1997,1,16
CC,04/14/1997,2,20
CC,04/14/1997,3,17
CC,04/14/1997,1,27
CC,04/14/1997,2,30
CC,04/14/1997,3,22
CC,04/14/1997,1,113
CC,04/14/1997,2,103
CC,04/14/1997,3,151
CC,07/03/1997,1,39
CC,07/03/1997,2,12
CC,07/03/1997,3,18
CC,07/03/1997,1,0
CC,07/03/1997,2,0
CC,07/03/1997,3,0
CC,07/03/1997,1,81
CC,07/03/1997,2,110
CC,07/03/1997,3,96
CC,10/15/1997,1,62
CC,10/15/1997,2,89
CC,10/15/1997,3,51
CC,10/15/1997,1,1
CC,10/15/1997,2,2
CC,10/15/1997,3,4
CC,10/15/1997,1,186
CC,10/15/1997,2,133
CC,10/15/1997,3,159
CC,01/06/1998,1,67
CC,01/06/1998,2,45
CC,01/06/1998,3,68
CC,01/06/1998,1,5
CC,01/06/1998,2,5
CC,01/06/1998,3,4
CC,01/06/1998,1,130
CC,01/06/1998,2,253
CC,01/06/1998,3,272
CC,04/03/1998,1,46
CC,04/03/1998,2,32
CC,04/03/1998,3,37
CC,04/03/1998,1,43
CC,04/03/1998,2,53
CC,04/03/1998,3,26
CC,07/08/1998,1,25
CC,07/08/1998,2,24
CC,07/08/1998,3,7
CC,07/08/1998,1,72
CC,07/08/1998,2,162
CC,07/08/1998,3,128
CC,07/26/1998,1,44
CC,07/26/1998,2,42
CC,07/26/1998,3,57
CC,10/15/1998,1,20
CC,10/15/1998,2,90
CC,10/15/1998,3,42
CC,10/15/1998,1,61
CC,10/15/1998,2,83
CC,10/15/1998,3,78
CC,10/15/1998,1,103
CC,10/15/1998,2,60
CC,10/15/1998,3,105
CC,01/08/1999,1,49
CC,01/08/1999,2,44
CC,01/08/1999,3,80
CC,01/08/1999,1,20
CC,01/08/1999,2,19
CC,01/08/1999,3,115
CC,01/08/1999,1,42
CC,01/08/1999,2,126
CC,01/08/1999,3,70
CC,04/05/1999,1,77
CC,04/05/1999,2,55
CC,04/05/1999,3,71
CC,04/05/1999,1,53
CC,04/05/1999,2,25
CC,04/05/1999,3,19
CC,04/05/1999,1,83
CC,04/05/1999,2,60
CC,04/05/1999,3,81
CC,07/06/1999,1,50
CC,07/06/1999,2,49
CC,07/06/1999,3,72
CC,07/06/1999,1,40
CC,07/06/1999,2,45
CC,07/06/1999,3,21
CC,07/06/1999,1,93
CC,07/06/1999,2,113
CC,07/06/1999,3,82
CC,10/29/1999,1,32
CC,10/29/1999,2,24
CC,10/29/1999,3,23
CC,10/29/1999,1,248
CC,10/29/1999,2,63
CC,10/29/1999,3,83
CC,10/29/1999,1,69
CC,10/29/1999,2,64
CC,10/29/1999,3,79
CC,01/27/2000,1,58
CC,01/27/2000,2,34
CC,01/27/2000,3,34
CC,01/27/2000,1,113
CC,01/27/2000,2,49
CC,01/27/2000,3,33
CC,01/27/2000,1,62
CC,01/27/2000,2,100
CC,01/27/2000,3,142
CC,04/13/2000,1,75
CC,04/13/2000,2,41
CC,04/13/2000,3,55
CC,04/13/2000,1,80
CC,04/13/2000,2,200
CC,04/13/2000,3,77
CC,04/13/2000,1,109
CC,04/13/2000,2,122
CC,04/13/2000,3,84
CC,07/06/2000,1,46
CC,07/06/2000,2,64
CC,07/06/2000,3,43
CC,07/06/2000,1,24
CC,07/06/2000,2,196
CC,07/06/2000,3,269
CC,07/06/2000,1,56
CC,07/06/2000,2,102
CC,07/06/2000,3,160
CC,10/05/2000,1,38
CC,10/05/2000,2,23
CC,10/05/2000,3,16
CC,10/05/2000,1,97
CC,10/05/2000,2,137
CC,10/05/2000,3,104
CC,10/05/2000,1,25
CC,10/05/2000,2,13
CC,10/05/2000,3,29
CC,01/05/2001,1,43
CC,01/05/2001,2,62
CC,01/05/2001,3,53
CC,01/05/2001,1,113
CC,01/05/2001,2,312
CC,01/05/2001,3,43
CC,01/05/2001,1,99
CC,01/05/2001,2,73
CC,01/05/2001,3,133
CC,04/05/2001,1,51
CC,04/05/2001,2,34
CC,04/05/2001,3,30
CC,04/05/2001,1,109
CC,04/05/2001,2,124
CC,04/05/2001,3,127
CC,04/05/2001,1,69
CC,04/05/2001,2,95
CC,04/05/2001,3,109
CC,07/13/2001,1,21
CC,07/13/2001,2,41
CC,07/13/2001,3,20
CC,07/13/2001,1,5
CC,07/13/2001,2,14
CC,07/13/2001,3,55
CC,07/13/2001,1,64
CC,07/13/2001,2,64
CC,07/13/2001,3,55
CC,10/02/2001,1,20
CC,10/02/2001,2,14
CC,10/02/2001,3,33
CC,10/02/2001,1,4
CC,10/02/2001,2,5
CC,10/02/2001,3,10
CC,10/02/2001,1,85
CC,10/02/2001,2,59
CC,10/02/2001,3,113
CC,01/04/2002,1,22
CC,01/04/2002,2,24
CC,01/04/2002,3,37
CC,01/04/2002,1,35
CC,01/04/2002,2,31
CC,01/04/2002,3,49
CC,01/04/2002,1,120
CC,01/04/2002,2,103
CC,01/04/2002,3,69
CC,04/02/2002,1,26
CC,04/02/2002,2,59
CC,04/02/2002,3,31
CC,04/02/2002,1,17
CC,04/02/2002,2,22
CC,04/02/2002,3,34
CC,04/02/2002,1,127
CC,04/02/2002,2,117
CC,04/02/2002,3,139
CC,07/06/2002,1,57
CC,07/06/2002,2,42
CC,07/06/2002,3,25
CC,07/06/2002,1,27
CC,07/06/2002,2,5
CC,07/06/2002,3,15
CC,07/06/2002,1,69
CC,07/06/2002,2,126
CC,07/06/2002,3,49
CC,10/02/2002,1,13
CC,10/02/2002,2,7
CC,10/02/2002,3,9
CC,10/02/2002,1,30
CC,10/02/2002,2,8
CC,10/02/2002,3,20
CC,10/02/2002,1,83
CC,10/02/2002,2,25
CC,10/02/2002,3,40
CC,01/15/2003,1,11
CC,01/15/2003,2,9
CC,01/15/2003,3,6
CC,01/15/2003,1,5
CC,01/15/2003,2,4
CC,01/15/2003,3,6
CC,01/15/2003,1,74
CC,01/15/2003,2,51
CC,01/15/2003,3,51
CC,04/02/2003,1,4
CC,04/02/2003,2,5
CC,04/02/2003,3,5
CC,04/02/2003,1,23
CC,04/02/2003,2,13
CC,04/02/2003,3,27
CC,04/02/2003,1,60
CC,04/02/2003,2,101
CC,04/02/2003,3,39
CC,07/17/2003,1,17
CC,07/17/2003,2,8
CC,07/17/2003,3,20
CC,07/17/2003,1,18
CC,07/17/2003,2,10
CC,07/17/2003,3,18
CC,07/17/2003,1,69
CC,07/17/2003,2,31
CC,07/17/2003,3,48
CC,10/03/2003,1,28
CC,10/03/2003,2,23
CC,10/03/2003,3,21
CC,10/03/2003,1,19
CC,10/03/2003,2,6
CC,10/03/2003,3,15
CC,10/03/2003,1,77
CC,10/03/2003,2,72
CC,10/03/2003,3,69
CC,01/09/2004,1,123
CC,01/09/2004,2,29
CC,01/09/2004,3,67
CC,01/09/2004,1,19
CC,01/09/2004,2,25
CC,01/09/2004,3,12
CC,01/09/2004,1,31
CC,01/09/2004,2,84
CC,01/09/2004,3,74
CC,04/08/2004,1,17
CC,04/08/2004,2,36
CC,04/08/2004,3,20
CC,04/08/2004,1,40
CC,04/08/2004,2,27
CC,04/08/2004,3,36
