DATE,Chl
07/09/2013,0.07
07/09/2013,0.1
07/09/2013,0.05
07/09/2013,0.09
10/02/2013,0.12
10/02/2013,0.1
10/02/2013,0.08
10/02/2013,0.1
01/09/2014,0.07
01/09/2014,0.04
01/09/2014,0.03
01/09/2014,0.06
04/08/2014,0.06
04/09/2014,0.06
04/09/2014,0.04
04/09/2014,0.07
07/08/2014,0.21
07/08/2014,0.09
07/08/2014,0.05
07/08/2014,0.07
10/09/2014,0.07
10/09/2014,0.08
10/09/2014,0.06
10/09/2014,0.09
01/20/2015,0.27
01/20/2015,0.2
01/20/2015,0.08
01/20/2015,0.26
04/21/2015,0.03
04/21/2015,0.11
04/21/2015,0.06
04/21/2015,0.11
07/08/2015,0.31
07/08/2015,0.15
07/08/2015,0.11
07/08/2015,0.23
10/07/2015,0.14
10/07/2015,0.14
10/07/2015,0.07
10/07/2015,0.16
01/07/2016,0.08
01/07/2016,0.1
01/07/2016,0.09
01/07/2016,0.13
04/05/2016,0.38
04/05/2016,0.17
04/05/2016,0.05
04/05/2016,0.36
07/13/2016,0.18
07/13/2016,0.12
07/13/2016,0.13
07/13/2016,0.22
