DATE,Chl
07/09/2013,8.39
07/09/2013,11.11
07/09/2013,5.95
07/09/2013,10.5
10/02/2013,13.5
10/02/2013,11.62
10/02/2013,8.49
10/02/2013,11.66
01/09/2014,7.41
01/09/2014,4.97
01/09/2014,3.17
01/09/2014,7
04/08/2014,6.92
04/09/2014,6.63
04/09/2014,4.25
04/09/2014,8.45
07/08/2014,23.39
07/08/2014,9.78
07/08/2014,5.67
07/08/2014,7.88
10/09/2014,7.42
10/09/2014,8.8
10/09/2014,7.1
10/09/2014,10.59
01/20/2015,30.47
01/20/2015,22.66
01/20/2015,8.67
01/20/2015,29.74
04/21/2015,3.08
04/21/2015,12.51
04/21/2015,7.08
04/21/2015,11.87
07/08/2015,34.63
07/08/2015,16.9
07/08/2015,12.68
07/08/2015,25.71
10/07/2015,16.05
10/07/2015,15.4
10/07/2015,8
10/07/2015,18.17
01/07/2016,8.59
01/07/2016,11.84
01/07/2016,10.41
01/07/2016,14.66
04/05/2016,43.18
04/05/2016,19.15
04/05/2016,5.66
04/05/2016,41
07/13/2016,20.67
07/13/2016,13.79
07/13/2016,14.34
07/13/2016,24.55
