Bay,DATE,DIN,DON,Temp
EM,07/09/2013,0.084,0.378739384,29.54
EM,07/09/2013,0.0798,0.5687118807,29.40
EM,10/02/2013,0.08414,0.687593337,28.18
EM,10/02/2013,0.05411,0.7649790991,27.86
EM,01/09/2014,0.02758,0.2939647413,8.93
EM,01/09/2014,0.0301233333,0.4962724015,10.60
EM,04/08/2014,0.04417,0.44436,19.12
EM,04/09/2014,0.0596166667,0.57274,18.70
EM,07/08/2014,0.03535,0.7311144664,30.22
EM,07/08/2014,0.0349766667,0.7200796518,30.37
EM,10/09/2014,0.04081,0.581473853,27.30
EM,10/09/2014,0.0302866667,0.7539460725,27.85
EM,01/20/2015,0.0533866667,0.6817068202,11.50
EM,01/20/2015,0.36855,0.8248705557,13.54
EM,04/21/2015,0.37898,0.7178525739,22.65
EM,04/21/2015,2.12926,0.8623567172,22.81
EM,07/08/2015,0.0295866667,0.7323282969,29.15
EM,07/08/2015,0.03444,0.8818258361,29.74
EM,10/07/2015,0.0125183333,0.5754681082,26.54
EM,10/07/2015,0.0146533333,0.8277046365,26.66
EM,01/07/2016,0.2409866667,1.0522793285,13.62
EM,01/07/2016,0.56637,1.5922944457,14.88
EM,04/05/2016,0.04417,0.49356131,20.68
EM,04/05/2016,0.02856,0.7237537576,21.25
EM,07/13/2016,0.0689266667,0.532046074,30.50
EM,07/13/2016,0.03199,0.7032224118,31.14
