Est,Bay,DATE,STA,DEPTH,TEMP,SAL,DO,mondate
GE,US,11/18/1986,A,1.5,15.5,13.2,,11/15/1986
GE,US,11/18/1986,B,1.75,14.2,17.6,,11/15/1986
GE,US,1/28/1987,A,1.25,14.399,0.29999,,1/15/1987
GE,US,1/28/1987,B,1.799999997,14.8,0.4,,1/15/1987
GE,LS,1/29/1987,C,1,14.5,3,,1/15/1987
GE,LS,1/29/1987,D,0.1,15.79999998,4.099999994,,1/15/1987
GE,US,3/3/1987,A,1.25,15,0.2,,3/15/1987
GE,US,3/4/1987,B,1.899999999,16,0.399999999,,3/15/1987
GE,LS,3/4/1987,C,2,16,6.899999991,,3/15/1987
GE,LS,3/4/1987,D,1.599999998,17.5,12.5,,3/15/1987
GE,US,4/8/1987,A,1.25,14.5,0.9,,4/15/1987
GE,US,4/8/1987,B,1.799999997,15.19999999,6.299999997,,4/15/1987
GE,LS,4/10/1987,C,2,14.5,9.199999988,,4/15/1987
GE,LS,4/10/1987,D,1.5,14.89999998,13.19999999,,4/15/1987
GE,US,6/3/1987,A,1.25,26.7,0.5,9.399999976,6/15/1987
GE,US,6/3/1987,B,1.799999997,26.8,4.3,,6/15/1987
GE,LS,6/3/1987,C,2,26.5,3.6,,6/15/1987
GE,LS,6/3/1987,D,1.5,25.9,7.6,9.199999988,6/15/1987
GE,US,7/15/1987,A,1.25,30.5,0.399999999,,7/15/1987
GE,US,7/15/1987,B,1.799999997,30,0.399999999,,7/15/1987
GE,LS,7/15/1987,C,2,30.5,1.099999998,,7/15/1987
GE,LS,7/15/1987,D,1.5,30.5,0.899999999,,7/15/1987
GE,US,4/18/1988,A,1.25,21.89999998,9.199999988,,4/15/1988
GE,US,4/18/1988,B,1.75,22,20.5,,4/15/1988
GE,LS,4/18/1988,C,2,22.09999996,23.59999996,,4/15/1988
GE,LS,4/18/1988,D,1.599999998,22.09999996,26.69999999,7.099999994,4/15/1988
GE,US,7/7/1988,A,1.25,28.39999998,10,,7/15/1988
GE,US,7/7/1988,B,1.799999997,29.29999995,21,,7/15/1988
GE,LS,7/8/1988,C,2,28.89999998,26,,7/15/1988
GE,LS,7/8/1988,D,1.5,28.89999998,32,,7/15/1988
GE,US,10/6/1988,A,1.2,24,15,,10/15/1988
GE,US,10/6/1988,B,1.7,24,22,,10/15/1988
GE,LS,10/6/1988,C,1.7,24,29,,10/15/1988
GE,US,11/22/1988,A,1.25,15.5,18.5,10.09999999,11/15/1988
GE,US,11/22/1988,B,1.75,15.39999998,24.9,8.199999988,11/15/1988
GE,LS,11/22/1988,C,1.779999997,16,30.2,9.199999988,11/15/1988
GE,LS,11/22/1988,D,1.5,15.89999998,30.7,12.29999998,11/15/1988
GE,US,4/4/1989,A,1.25,24,15,,4/15/1989
GE,US,4/4/1989,B,1.799999997,23.69999999,18,,4/15/1989
GE,LS,4/4/1989,C,2,22,24,,4/15/1989
GE,LS,4/4/1989,D,1.5,23.89999998,24,,4/15/1989
GE,US,7/23/1989,A,1.25,31.5,15.89999998,,7/15/1989
GE,US,7/23/1989,B,1.799999997,31.5,19.39999998,,7/15/1989
GE,LS,7/23/1989,C,2,31.29999995,28.39999998,,7/15/1989
GE,LS,7/23/1989,D,1.5,31.5,29,,7/15/1989
GE,US,12/5/1989,A,1.25,11.39999998,20,14.5,12/15/1989
GE,US,12/5/1989,B,1.75,11.29999998,20,14.79999998,12/15/1989
GE,LS,12/5/1989,C,2,11,24,11.79999998,12/15/1989
GE,LS,12/5/1989,D,1.599999998,11.5,24,12.59999999,12/15/1989
GE,US,4/11/1990,A,1.5,19.11999995,6.9,8.599999994,4/15/1990
GE,US,4/11/1990,B,2.099999994,19.52999997,21.09999996,7.799999997,4/15/1990
GE,LS,4/10/1990,C,2.199999996,20.55999994,24.6,7.359999999,4/15/1990
GE,LS,4/10/1990,D,1.699999999,20.90999997,25.89999998,7.379999995,4/15/1990
GE,US,8/2/1990,A,1.299999997,29.33999997,0.1,6.699999988,8/15/1990
GE,US,8/2/1990,B,1.799999997,29.64999998,3.599999994,5.569999993,8/15/1990
GE,LS,8/2/1990,C,1.799999997,29.80999994,15.29999998,5.939999998,8/15/1990
GE,LS,8/2/1990,D,1.199999999,29.47999996,11.19999999,5.739999995,8/15/1990
GE,US,10/19/1990,A,1.699999999,22.25999999,9.5,12.09999999,10/15/1990
GE,US,10/19/1990,B,2.199999996,21.70999998,18.19999999,3.399999999,10/15/1990
GE,LS,10/19/1990,C,2.299999997,21.59999996,20,3.689999998,10/15/1990
GE,LS,10/19/1990,D,2,21.5,27.79999995,4.089999989,10/15/1990
GE,US,1/23/1991,A,1.199999999,10.66999999,17,5.859999999,1/15/1991
GE,US,1/23/1991,B,2,10.28999999,19.19999999,8.23999998,1/15/1991
GE,LS,1/23/1991,C,1.899999999,10.00999999,22.39999998,10.25,1/15/1991
GE,LS,1/23/1991,D,1.5,10.30999997,22.39999998,9.399999976,1/15/1991
GE,US,4/22/1991,A,1.199999999,25.16999996,0,7.349999994,4/15/1991
GE,US,4/22/1991,B,1.699999999,24.19,3.599999994,6.489999995,4/15/1991
GE,LS,4/22/1991,C,1.799999997,24.27999997,6.799999997,7.339999989,4/15/1991
GE,LS,4/22/1991,D,1.5,24.73999995,7.199999988,7.899999991,4/15/1991
GE,US,7/17/1991,A,1.199999999,29.97999996,0,7.25,7/15/1991
GE,US,7/17/1991,B,1.699999999,30.06999999,4.199999988,5.439999998,7/15/1991
GE,LS,7/17/1991,C,1.899999999,30.91999996,12,5.959999993,7/15/1991
GE,LS,7/17/1991,D,1.5,30.45999998,7.399999991,5.909999996,7/15/1991
GE,US,10/15/1991,A,1.399999999,25.20999998,12,6.299999997,10/15/1991
GE,US,10/15/1991,B,1.899999999,24.77999997,16,7.299999997,10/15/1991
GE,LS,10/15/1991,C,2,24.81999999,24,7.299999997,10/15/1991
GE,LS,10/15/1991,D,1.799999997,24.75,24.19999999,6.299999997,10/15/1991
GE,US,1/20/1992,A,1.299999997,10.58999997,0,9.559999973,1/15/1992
GE,US,1/20/1992,B,1.699999999,8.399999976,0,10.04999998,1/15/1992
GE,LS,1/20/1992,C,1.899999999,8.549999982,0.2,9.859999985,1/15/1992
GE,LS,1/20/1992,D,1.5,8.699999988,2.399999999,9.809999973,1/15/1992
GE,US,4/6/1992,A,1.199999999,21.19,0,7.549999997,4/15/1992
GE,US,4/6/1992,B,1.699999999,19.28999996,0,8.819999993,4/15/1992
GE,LS,4/6/1992,C,1.899999999,19.32999998,0,9.659999996,4/15/1992
GE,LS,4/6/1992,D,1.599999998,18.07999998,0.399999999,8.879999995,4/15/1992
GE,US,7/12/1992,A,0.899999999,30.08999997,0,8.00999999,7/15/1992
GE,US,7/12/1992,B,1.5,29.75,0,7.75999999,7/15/1992
GE,LS,7/12/1992,C,1.599999998,29.64999998,4.699999988,7.069999993,7/15/1992
GE,LS,7/12/1992,D,1.299999997,29.59999996,0.6,8.109999985,7/15/1992
GE,US,10/7/1992,A,1.199999999,24.92999995,8.699999988,7.629999995,10/15/1992
GE,US,10/7/1992,B,1.5,24.52999997,15,6.949999988,10/15/1992
GE,LS,10/7/1992,C,1.899999999,24.42999995,19.79999995,6.75,10/15/1992
GE,LS,10/7/1992,D,1.399999999,24.38,21.79999995,6.459999993,10/15/1992
GE,US,1/12/1993,A,1.199999999,12.42999998,18.39999998,8.639999986,1/15/1993
GE,US,1/12/1993,B,1.699999999,11.67999998,19.39999998,9.669999987,1/15/1993
GE,LS,1/12/1993,C,1.899999999,11.91999999,21,9.459999979,1/15/1993
GE,LS,1/12/1993,D,1.599999998,12.00999999,25,9.839999974,1/15/1993
GE,US,4/5/1993,A,0.899999999,19.51999998,3.5,8.549999982,4/15/1993
GE,US,4/5/1993,B,1.5,18.90999997,5.899999991,8.25,4/15/1993
GE,LS,4/5/1993,C,1.699999999,18.95999998,9.799999982,7.659999996,4/15/1993
GE,LS,4/5/1993,D,1.299999997,19.22999996,15.79999998,8.449999988,4/15/1993
GE,US,7/9/1993,A,1.099999998,30.40999997,0,6.539999992,7/15/1993
GE,US,7/9/1993,B,1.5,30.01999998,0,6.639999986,7/15/1993
GE,LS,7/9/1993,C,1.699999999,29.16999996,4.099999994,6.349999994,7/15/1993
GE,LS,7/9/1993,D,1.199999999,29.78999996,0,6.949999988,7/15/1993
GE,US,10/11/1993,A,1.699999999,25.69,5,9.309999973,10/15/1993
GE,US,10/11/1993,B,2.199999996,25.50999999,14.39999998,8.309999973,10/15/1993
GE,LS,10/11/1993,C,2.199999996,25.75999999,17.59999996,7.859999999,10/15/1993
GE,LS,10/11/1993,D,2,25.80999994,26.39999998,7.519999996,10/15/1993
GE,US,1/5/1994,A,0.699999999,14.19,8.699999988,10.29999998,1/15/1994
GE,US,1/5/1994,B,1.199999999,13.50999999,17.79999995,13.04999998,1/15/1994
GE,LS,1/5/1994,C,1.299999997,13.81999999,19.39999998,10.30999997,1/15/1994
GE,LS,1/5/1994,D,0.899999999,13.97,19.79999995,10.23999998,1/15/1994
GE,US,4/7/1994,A,1.5,18.59999996,5.199999988,9.189999998,4/15/1994
GE,US,4/7/1994,B,1.599999998,19.06999999,12.79999998,9.469999999,4/15/1994
GE,LS,4/7/1994,C,2,18.76999998,18.19999999,7.819999993,4/15/1994
GE,LS,4/7/1994,D,1.399999999,18.92999995,24,9.049999982,4/15/1994
GE,US,7/7/1994,A,1.099999998,30.42999995,6,10.22999999,7/15/1994
GE,US,7/7/1994,B,1.5,30.38,7.399999991,9.519999981,7/15/1994
GE,LS,7/7/1994,C,1.599999998,30.28999996,21.19999999,9.969999999,7/15/1994
GE,LS,7/7/1994,D,1.199999999,30.25,7.5,11.76999998,7/15/1994
GE,US,10/20/1994,A,1.5,28.30999994,9.699999988,8.309999973,10/15/1994
GE,US,10/20/1994,B,2,27.36999995,22.5,6.209999993,10/15/1994
GE,LS,10/20/1994,C,1.899999999,26.54999995,24.19999999,5.799999997,10/15/1994
GE,LS,10/20/1994,D,1.5,27.35999995,26.89999998,7.199999988,10/15/1994
GE,US,1/10/1995,A,0.899999999,17.36999995,5,8.399999976,1/15/1995
GE,US,1/10/1995,B,1.399999999,12.16999999,21,9.399999976,1/15/1995
GE,LS,1/10/1995,C,1.599999998,12.69999999,20.5,12.09999999,1/15/1995
