DATE,Chl
07/09/2013,8.83
07/09/2013,9.18
07/09/2013,7.55
10/02/2013,14.99
10/02/2013,15.81
10/02/2013,17.6
01/09/2014,1.32
01/09/2014,1.43
01/09/2014,0.89
04/09/2014,4.04
04/09/2014,5.7
04/09/2014,3.67
07/08/2014,10.07
07/08/2014,10.13
07/08/2014,10.32
10/09/2014,6.08
10/09/2014,6.8
10/09/2014,8.46
01/20/2015,2.64
01/20/2015,2.53
01/20/2015,3.09
04/21/2015,2.56
04/21/2015,2.5
04/21/2015,3.2
07/08/2015,30.86
07/08/2015,18.75
07/08/2015,28.8
10/07/2015,7.6
10/07/2015,4.27
10/07/2015,8.68
01/07/2016,7.76
01/07/2016,4.65
01/07/2016,6.03
04/05/2016,4.14
04/05/2016,6.86
04/05/2016,5.12
07/13/2016,15.35
07/13/2016,13.95
07/13/2016,15.07
