Bay,DATE,REP,N
LB,04/18/1988,1,106
LB,04/18/1988,2,109
LB,04/18/1988,3,97
LB,04/18/1988,1,65
LB,04/18/1988,2,74
LB,04/18/1988,3,57
LB,07/19/1988,1,35
LB,07/19/1988,2,24
LB,07/19/1988,3,25
LB,07/19/1988,1,27
LB,07/19/1988,2,45
LB,07/19/1988,3,47
LB,11/22/1988,1,31
LB,11/22/1988,2,29
LB,11/22/1988,3,37
LB,11/22/1988,1,29
LB,11/22/1988,2,37
LB,11/22/1988,3,24
LB,04/05/1989,1,114
LB,04/05/1989,2,99
LB,04/05/1989,3,70
LB,04/05/1989,1,47
LB,04/05/1989,2,29
LB,04/05/1989,3,47
LB,07/22/1989,1,20
LB,07/22/1989,2,28
LB,07/22/1989,3,37
LB,07/22/1989,1,24
LB,07/22/1989,2,42
LB,07/22/1989,3,24
LB,12/05/1989,1,27
LB,12/05/1989,2,19
LB,12/05/1989,3,35
LB,12/05/1989,1,32
LB,12/05/1989,2,29
LB,12/05/1989,3,39
LB,04/10/1990,1,52
LB,04/10/1990,2,54
LB,04/10/1990,3,48
LB,04/10/1990,1,58
LB,04/10/1990,2,33
LB,04/10/1990,3,42
LB,07/31/1990,1,22
LB,07/31/1990,2,9
LB,07/31/1990,3,15
LB,07/31/1990,1,15
LB,07/31/1990,2,18
LB,07/31/1990,3,14
LB,10/23/1990,1,6
LB,10/23/1990,2,7
LB,10/23/1990,3,11
LB,10/23/1990,1,32
LB,10/23/1990,2,50
LB,10/23/1990,3,28
LB,01/25/1991,1,9
LB,01/25/1991,2,3
LB,01/25/1991,3,6
LB,01/25/1991,1,40
LB,01/25/1991,2,35
LB,01/25/1991,3,44
LB,04/24/1991,1,3
LB,04/24/1991,2,8
LB,04/24/1991,3,9
LB,04/24/1991,1,14
LB,04/24/1991,2,10
LB,04/24/1991,3,14
LB,07/24/1991,1,19
LB,07/24/1991,2,21
LB,07/24/1991,3,11
LB,07/24/1991,1,39
LB,07/24/1991,2,34
LB,07/24/1991,3,40
LB,10/14/1991,1,37
LB,10/14/1991,2,13
LB,10/14/1991,3,13
LB,10/14/1991,1,18
LB,10/14/1991,2,14
LB,10/14/1991,3,14
LB,01/20/1992,1,17
LB,01/20/1992,2,30
LB,01/20/1992,3,45
LB,01/20/1992,1,21
LB,01/20/1992,2,21
LB,01/20/1992,3,13
LB,04/06/1992,1,20
LB,04/06/1992,2,13
LB,04/06/1992,3,20
LB,04/06/1992,1,26
LB,04/06/1992,2,20
LB,04/06/1992,3,23
LB,07/12/1992,1,12
LB,07/12/1992,2,18
LB,07/12/1992,3,18
LB,07/12/1992,1,18
LB,07/12/1992,2,20
LB,07/12/1992,3,22
LB,10/06/1992,1,26
LB,10/06/1992,2,17
LB,10/06/1992,3,42
LB,10/06/1992,1,26
LB,10/06/1992,2,23
LB,10/06/1992,3,5
LB,01/12/1993,1,48
LB,01/12/1993,2,89
LB,01/12/1993,3,35
LB,01/12/1993,1,22
LB,01/12/1993,2,47
LB,01/12/1993,3,37
LB,04/05/1993,1,56
LB,04/05/1993,2,15
LB,04/05/1993,3,59
LB,04/05/1993,1,85
LB,04/05/1993,2,57
LB,04/05/1993,3,22
LB,07/09/1993,1,19
LB,07/09/1993,2,34
LB,07/09/1993,3,27
LB,07/09/1993,1,7
LB,07/09/1993,2,10
LB,07/09/1993,3,16
LB,10/11/1993,1,5
LB,10/11/1993,2,7
LB,10/11/1993,3,0
LB,10/11/1993,1,5
LB,10/11/1993,2,11
LB,10/11/1993,3,4
LB,01/05/1994,1,34
LB,01/05/1994,2,46
LB,01/05/1994,3,34
LB,01/05/1994,1,20
LB,01/05/1994,2,18
LB,01/05/1994,3,26
LB,04/07/1994,1,41
LB,04/07/1994,2,52
LB,04/07/1994,3,69
LB,04/07/1994,1,39
LB,04/07/1994,2,35
LB,04/07/1994,3,23
LB,07/07/1994,1,29
LB,07/07/1994,2,25
LB,07/07/1994,3,31
LB,07/07/1994,1,20
LB,07/07/1994,2,19
LB,07/07/1994,3,20
LB,10/20/1994,1,8
LB,10/20/1994,2,23
LB,10/20/1994,3,9
LB,10/20/1994,1,9
LB,10/20/1994,2,6
LB,10/20/1994,3,18
LB,01/10/1995,1,6
LB,01/10/1995,2,16
LB,01/10/1995,3,13
LB,01/10/1995,1,19
LB,01/10/1995,2,17
LB,01/10/1995,3,20
LB,04/06/1995,1,32
LB,04/06/1995,2,72
LB,04/06/1995,3,70
LB,04/06/1995,1,34
LB,04/06/1995,2,44
LB,04/06/1995,3,51
LB,07/06/1995,1,18
LB,07/06/1995,2,17
LB,07/06/1995,3,17
LB,07/06/1995,1,24
LB,07/06/1995,2,12
LB,07/06/1995,3,20
LB,10/04/1995,1,6
LB,10/04/1995,2,3
LB,10/04/1995,3,8
LB,10/04/1995,1,17
LB,10/04/1995,2,9
LB,10/04/1995,3,9
LB,01/09/1996,1,21
LB,01/09/1996,2,81
LB,01/09/1996,3,30
LB,01/09/1996,1,21
LB,01/09/1996,2,29
LB,01/09/1996,3,31
LB,04/02/1996,1,25
LB,04/02/1996,2,27
LB,04/02/1996,3,30
