Bay,DATE,gm2
LB,04/18/1988,0.0003495107
LB,07/19/1988,0.0000948398
LB,11/22/1988,0.0001174081
LB,04/05/1989,0.0005679466
LB,07/22/1989,0.0001960992
LB,12/05/1989,0.0001527496
LB,04/10/1990,0.0003980887
LB,07/31/1990,0.0001448408
LB,10/23/1990,0.0000774337
LB,01/25/1991,0.0001027155
LB,04/24/1991,0.0000657525
LB,07/24/1991,0.0000504974
LB,10/14/1991,0.0000360696
LB,01/20/1992,0.0000955678
LB,04/06/1992,0.0000390809
LB,07/12/1992,0.0000328597
LB,10/06/1992,0.0000174391
LB,01/12/1993,0.0000272673
LB,04/05/1993,0.0002149944
LB,07/09/1993,0.0000605902
LB,10/11/1993,0.0000105892
LB,01/05/1994,0.0001705858
LB,04/07/1994,0.0002084754
LB,07/07/1994,0.0001772372
LB,10/20/1994,0.0000345804
LB,01/10/1995,0.0000391801
LB,04/06/1995,0.0001665818
LB,07/06/1995,0.0000827283
LB,10/04/1995,0.0000372278
LB,01/09/1996,0.0000580091
LB,04/02/1996,0.0001745899
LB,07/09/1996,0.0000744224
LB,10/14/1996,0.0000254803
LB,01/25/1997,0.0000271349
LB,04/15/1997,0.0000944096
LB,07/09/1997,0.0000841844
LB,10/17/1997,0.0000376579
LB,01/09/1998,0.0000643296
LB,04/01/1998,0.0001448077
LB,07/06/1998,0.0000882215
LB,10/12/1998,0.000145999
LB,01/05/1999,0.0000330913
LB,04/06/1999,0.0000675394
LB,07/01/1999,0.0000356725
LB,10/21/1999,0.0000165126
LB,01/19/2000,0.0000782941
LB,04/21/2000,0.0000630721
LB,07/10/2000,0.0000712456
LB,10/04/2000,0.0000187628
LB,01/04/2001,0.0000844491
LB,04/03/2001,0.0001108891
LB,07/10/2001,0.0000613513
LB,10/01/2001,0.0000305433
LB,01/03/2002,0.0000275651
LB,04/01/2002,0.0001034435
LB,07/08/2002,0.0000354739
LB,10/09/2002,0.0000321979
LB,01/14/2003,0.0000213108
LB,04/14/2003,0.000180778
LB,07/21/2003,0.0000389485
LB,10/13/2003,0.0000201195
LB,01/08/2004,5.3938873E-6
LB,04/06/2004,0.0000319662
LB,07/01/2004,0.0000165788
LB,10/12/2004,0.0000216748
LB,01/04/2005,0.0000266385
LB,04/06/2005,0.0001049988
LB,07/01/2005,0.0000227007
LB,10/04/2005,0.0000266716
LB,01/03/2006,0.0000707493
LB,04/05/2006,0.0000626419
LB,07/11/2006,0.0000174391
LB,10/10/2006,0.000011946
LB,01/05/2007,0.0000152882
LB,04/02/2007,0.000077169
LB,04/03/2007,0.0000667121
LB,07/23/2007,3.4414987E-6
LB,07/24/2007,5.9895313E-6
LB,10/02/2007,0.0000129718
LB,01/07/2008,0.0000389154
LB,01/08/2008,8.537564E-6
LB,04/02/2008,0.0004355261
LB,07/08/2008,0.0001068188
LB,10/07/2008,0.000067396
LB,01/07/2009,0.0001679495
