Bay,DATE,Chl
LS,07/08/2013,11.14
LS,07/08/2013,11.26
LS,10/01/2013,16.52
LS,10/01/2013,6.35
LS,01/08/2014,4.43
LS,01/08/2014,1.54
LS,04/07/2014,8.34
LS,04/07/2014,4.77
LS,07/09/2014,8.60
LS,07/09/2014,8.94
LS,10/08/2014,8.83
LS,10/08/2014,5.06
LS,01/19/2015,10.88
LS,01/19/2015,18.37
LS,04/20/2015,12.97
LS,04/20/2015,15.93
LS,07/07/2015,9.45
LS,07/07/2015,27.36
LS,10/06/2015,5.46
LS,10/06/2015,4.53
LS,01/20/2016,9.32
LS,01/20/2016,8.98
LS,04/04/2016,13.27
LS,04/04/2016,10.68
LS,07/12/2016,13.71
LS,07/12/2016,26.20
