Bay,DATE,REP,N
LS,01/30/1987,1,29
LS,01/30/1987,2,31
LS,01/30/1987,3,31
LS,01/30/1987,1,21
LS,01/30/1987,2,25
LS,01/30/1987,3,22
LS,03/04/1987,1,38
LS,03/04/1987,2,35
LS,03/04/1987,3,39
LS,03/04/1987,1,41
LS,03/04/1987,2,28
LS,03/04/1987,3,42
LS,04/10/1987,1,49
LS,04/10/1987,2,36
LS,04/10/1987,3,38
LS,04/10/1987,1,25
LS,04/10/1987,2,47
LS,04/10/1987,3,26
LS,06/03/1987,1,35
LS,06/03/1987,2,21
LS,06/03/1987,3,12
LS,06/03/1987,1,29
LS,06/03/1987,2,26
LS,06/03/1987,3,28
LS,07/15/1987,1,20
LS,07/15/1987,2,41
LS,07/15/1987,3,31
LS,07/15/1987,1,15
LS,07/15/1987,2,16
LS,07/15/1987,3,10
LS,04/18/1988,1,231
LS,04/18/1988,2,317
LS,04/18/1988,3,248
LS,04/18/1988,1,128
LS,04/18/1988,2,143
LS,04/18/1988,3,122
LS,07/08/1988,1,73
LS,07/08/1988,2,53
LS,07/08/1988,3,65
LS,07/08/1988,1,42
LS,07/08/1988,2,30
LS,07/08/1988,3,48
LS,11/22/1988,1,36
LS,11/22/1988,2,34
LS,11/22/1988,3,45
LS,11/22/1988,1,31
LS,11/22/1988,2,32
LS,11/22/1988,3,29
LS,04/04/1989,1,75
LS,04/04/1989,2,53
LS,04/04/1989,3,68
LS,04/04/1989,1,101
LS,04/04/1989,2,51
LS,04/04/1989,3,116
LS,07/23/1989,1,64
LS,07/23/1989,2,51
LS,07/23/1989,3,44
LS,07/23/1989,1,38
LS,07/23/1989,2,50
LS,07/23/1989,3,50
LS,12/05/1989,1,25
LS,12/05/1989,2,19
LS,12/05/1989,3,15
LS,12/05/1989,1,46
LS,12/05/1989,2,95
LS,12/05/1989,3,27
LS,04/10/1990,1,12
LS,04/10/1990,2,27
LS,04/10/1990,3,18
LS,04/10/1990,1,47
LS,04/10/1990,2,58
LS,04/10/1990,3,45
LS,08/02/1990,1,22
LS,08/02/1990,2,53
LS,08/02/1990,3,18
LS,08/02/1990,1,48
LS,08/02/1990,2,35
LS,08/02/1990,3,31
LS,10/19/1990,1,97
LS,10/19/1990,2,76
LS,10/19/1990,3,76
LS,10/19/1990,1,73
LS,10/19/1990,2,32
LS,10/19/1990,3,62
LS,01/23/1991,1,51
LS,01/23/1991,2,68
LS,01/23/1991,3,36
LS,01/23/1991,1,185
LS,01/23/1991,2,240
LS,01/23/1991,3,333
LS,04/22/1991,1,23
LS,04/22/1991,2,41
LS,04/22/1991,3,25
LS,04/22/1991,1,59
LS,04/22/1991,2,76
LS,04/22/1991,3,54
LS,07/17/1991,1,63
LS,07/17/1991,2,41
LS,07/17/1991,3,45
LS,07/17/1991,1,55
LS,07/17/1991,2,90
LS,07/17/1991,3,38
LS,10/15/1991,1,88
LS,10/15/1991,2,88
LS,10/15/1991,3,88
LS,10/15/1991,1,72
LS,10/15/1991,2,42
LS,10/15/1991,3,46
LS,01/20/1992,1,40
LS,01/20/1992,2,34
LS,01/20/1992,3,52
LS,01/20/1992,1,21
LS,01/20/1992,2,22
LS,01/20/1992,3,29
LS,04/06/1992,1,6
LS,04/06/1992,2,19
LS,04/06/1992,3,17
LS,04/06/1992,1,17
LS,04/06/1992,2,10
LS,04/06/1992,3,16
LS,07/12/1992,1,9
LS,07/12/1992,2,7
LS,07/12/1992,3,3
LS,07/12/1992,1,11
LS,07/12/1992,2,8
LS,07/12/1992,3,8
LS,10/07/1992,1,34
LS,10/07/1992,2,40
LS,10/07/1992,3,41
LS,10/07/1992,1,12
LS,10/07/1992,2,20
LS,10/07/1992,3,13
LS,01/12/1993,1,59
LS,01/12/1993,2,35
LS,01/12/1993,3,39
LS,01/12/1993,1,53
LS,01/12/1993,2,79
LS,01/12/1993,3,91
LS,04/05/1993,1,167
LS,04/05/1993,2,259
LS,04/05/1993,3,124
LS,04/05/1993,1,88
LS,04/05/1993,2,74
LS,04/05/1993,3,92
LS,07/09/1993,1,23
LS,07/09/1993,2,61
LS,07/09/1993,3,59
LS,07/09/1993,1,18
LS,07/09/1993,2,8
LS,07/09/1993,3,20
LS,10/11/1993,1,100
LS,10/11/1993,2,48
LS,10/11/1993,3,15
LS,10/11/1993,1,17
LS,10/11/1993,2,16
LS,10/11/1993,3,11
LS,01/05/1994,1,32
LS,01/05/1994,2,54
LS,01/05/1994,3,57
LS,01/05/1994,1,36
LS,01/05/1994,2,35
LS,01/05/1994,3,31
LS,04/07/1994,1,77
LS,04/07/1994,2,79
LS,04/07/1994,3,61
LS,04/07/1994,1,29
LS,04/07/1994,2,28
LS,04/07/1994,3,58
LS,07/07/1994,1,60
LS,07/07/1994,2,47
LS,07/07/1994,3,45
LS,07/07/1994,1,29
LS,07/07/1994,2,64
LS,07/07/1994,3,50
LS,10/20/1994,1,43
LS,10/20/1994,2,132
LS,10/20/1994,3,33
LS,10/20/1994,1,49
LS,10/20/1994,2,61
LS,10/20/1994,3,31
LS,01/10/1995,1,49
LS,01/10/1995,2,74
LS,01/10/1995,3,44
LS,01/10/1995,1,31
LS,01/10/1995,2,57
LS,01/10/1995,3,37
LS,04/05/1995,1,75
LS,04/05/1995,2,70
LS,04/05/1995,3,51
LS,04/05/1995,1,34
LS,04/05/1995,2,27
LS,04/05/1995,3,37
LS,07/06/1995,1,9
LS,07/06/1995,2,13
LS,07/06/1995,3,7
LS,07/06/1995,1,5
LS,07/06/1995,2,5
LS,07/06/1995,3,5
LS,10/04/1995,1,11
LS,10/04/1995,2,5
LS,10/04/1995,3,2
LS,10/04/1995,1,30
LS,10/04/1995,2,11
LS,10/04/1995,3,29
LS,01/10/1996,1,21
LS,01/10/1996,2,20
LS,01/10/1996,3,31
LS,01/10/1996,1,26
LS,01/10/1996,2,55
LS,01/10/1996,3,42
LS,04/03/1996,1,9
LS,04/03/1996,2,12
LS,04/03/1996,3,6
LS,04/03/1996,1,29
LS,04/03/1996,2,18
LS,04/03/1996,3,21
LS,07/10/1996,1,15
LS,07/10/1996,2,9
LS,07/10/1996,3,16
LS,07/10/1996,1,33
LS,07/10/1996,2,22
LS,07/10/1996,3,17
LS,10/15/1996,1,31
LS,10/15/1996,2,31
LS,10/15/1996,3,21
LS,10/15/1996,1,15
LS,10/15/1996,2,28
LS,10/15/1996,3,18
LS,01/22/1997,1,40
LS,01/22/1997,2,25
LS,01/22/1997,3,24
LS,01/22/1997,1,26
LS,01/22/1997,2,45
LS,01/22/1997,3,43
LS,04/07/1997,1,19
LS,04/07/1997,2,31
LS,04/07/1997,3,19
LS,04/07/1997,1,24
LS,04/07/1997,2,18
LS,04/07/1997,3,16
LS,07/08/1997,1,27
LS,07/08/1997,2,23
LS,07/08/1997,3,21
LS,07/08/1997,1,2
LS,07/08/1997,2,3
LS,07/08/1997,3,5
LS,10/16/1997,1,4
LS,10/16/1997,2,20
LS,10/16/1997,3,13
LS,10/16/1997,1,16
LS,10/16/1997,2,5
LS,10/16/1997,3,16
LS,01/12/1998,1,55
LS,01/12/1998,2,32
LS,01/12/1998,3,34
LS,01/12/1998,1,30
LS,01/12/1998,2,40
LS,01/12/1998,3,37
LS,04/02/1998,1,77
LS,04/02/1998,2,75
LS,04/02/1998,3,76
LS,04/02/1998,1,69
LS,04/02/1998,2,60
LS,04/02/1998,3,39
LS,07/07/1998,1,42
LS,07/07/1998,2,25
LS,07/07/1998,3,58
LS,07/07/1998,1,21
LS,07/07/1998,2,24
LS,07/07/1998,3,19
LS,10/13/1998,1,33
LS,10/13/1998,2,41
LS,10/13/1998,3,34
LS,10/13/1998,1,12
LS,10/13/1998,2,10
LS,10/13/1998,3,22
LS,01/06/1999,1,5
LS,01/06/1999,2,15
LS,01/06/1999,3,8
LS,01/06/1999,1,11
LS,01/06/1999,2,17
LS,01/06/1999,3,9
LS,04/07/1999,1,23
LS,04/07/1999,2,40
LS,04/07/1999,3,27
LS,04/07/1999,1,23
LS,04/07/1999,2,48
LS,04/07/1999,3,26
LS,07/02/1999,1,51
LS,07/02/1999,2,16
LS,07/02/1999,3,5
LS,07/02/1999,1,13
LS,07/02/1999,2,19
LS,07/02/1999,3,17
LS,10/22/1999,1,19
LS,10/22/1999,2,18
LS,10/22/1999,3,6
LS,10/22/1999,1,20
LS,10/22/1999,2,16
LS,10/22/1999,3,26
LS,01/25/2000,1,24
LS,01/25/2000,2,33
LS,01/25/2000,3,20
LS,01/25/2000,1,26
LS,01/25/2000,2,31
LS,01/25/2000,3,20
LS,04/24/2000,1,11
LS,04/24/2000,2,10
LS,04/24/2000,3,13
LS,04/24/2000,1,31
LS,04/24/2000,2,30
LS,04/24/2000,3,23
LS,07/11/2000,1,28
LS,07/11/2000,2,8
LS,07/11/2000,3,15
LS,07/11/2000,1,10
LS,07/11/2000,2,18
LS,07/11/2000,3,13
LS,01/07/2004,1,16
LS,01/07/2004,2,12
LS,01/07/2004,3,14
LS,01/07/2004,1,36
LS,01/07/2004,2,34
LS,01/07/2004,3,53
LS,04/07/2004,1,16
LS,04/07/2004,2,15
LS,04/07/2004,3,20
LS,04/07/2004,1,35
LS,04/07/2004,2,57
LS,04/07/2004,3,62
LS,07/07/2004,1,14
LS,07/07/2004,2,19
LS,07/07/2004,3,17
LS,07/07/2004,1,1
LS,07/07/2004,2,31
LS,07/07/2004,3,17
LS,10/05/2004,1,14
LS,10/05/2004,2,15
LS,10/05/2004,3,30
LS,10/05/2004,1,20
LS,10/05/2004,2,0
LS,10/05/2004,3,22
LS,01/05/2005,1,5
LS,01/05/2005,2,8
LS,01/05/2005,3,8
LS,01/05/2005,1,42
LS,01/05/2005,2,25
LS,01/05/2005,3,23
LS,04/13/2005,1,34
LS,04/13/2005,2,25
LS,04/13/2005,3,37
LS,04/13/2005,1,60
LS,04/13/2005,2,44
LS,04/13/2005,3,35
LS,07/06/2005,1,17
LS,07/06/2005,2,37
LS,07/06/2005,3,12
LS,07/06/2005,1,37
LS,07/06/2005,2,23
LS,07/06/2005,3,22
LS,10/11/2005,1,18
LS,10/11/2005,2,16
LS,10/11/2005,3,6
LS,10/11/2005,1,43
LS,10/11/2005,2,28
LS,10/11/2005,3,22
LS,01/06/2006,1,13
LS,01/06/2006,2,23
LS,01/06/2006,3,31
LS,01/06/2006,1,31
LS,01/06/2006,2,7
LS,01/06/2006,3,15
LS,04/06/2006,1,24
LS,04/06/2006,2,24
LS,04/06/2006,3,11
LS,04/06/2006,1,11
LS,04/06/2006,2,12
LS,04/06/2006,3,13
LS,07/12/2006,1,19
LS,07/12/2006,2,34
LS,07/12/2006,3,23
LS,07/12/2006,1,18
LS,07/12/2006,2,9
LS,07/12/2006,3,18
LS,10/11/2006,1,8
LS,10/11/2006,2,2
LS,10/11/2006,3,14
LS,10/11/2006,1,9
LS,10/11/2006,2,17
LS,10/11/2006,3,20
LS,01/08/2007,1,17
LS,01/08/2007,2,15
LS,01/08/2007,3,6
LS,01/08/2007,1,20
LS,01/08/2007,2,24
LS,01/08/2007,3,36
LS,04/04/2007,1,7
LS,04/04/2007,2,10
LS,04/04/2007,3,8
LS,04/04/2007,1,40
LS,04/04/2007,2,25
LS,04/04/2007,3,27
LS,07/25/2007,1,0
LS,07/25/2007,2,2
LS,07/25/2007,3,0
LS,07/25/2007,1,12
LS,07/25/2007,2,7
LS,07/25/2007,3,15
LS,10/03/2007,1,2
LS,10/03/2007,2,18
LS,10/03/2007,3,3
LS,10/03/2007,1,4
LS,10/03/2007,2,8
LS,10/03/2007,3,6
LS,01/09/2008,1,8
LS,01/09/2008,2,4
LS,01/09/2008,3,0
LS,01/09/2008,1,6
LS,01/09/2008,2,8
LS,01/09/2008,3,10
LS,04/03/2008,1,14
LS,04/03/2008,2,17
LS,04/03/2008,3,25
LS,04/03/2008,1,16
LS,04/03/2008,2,38
LS,04/03/2008,3,31
LS,07/09/2008,1,22
LS,07/09/2008,2,16
LS,07/09/2008,3,42
LS,07/09/2008,1,14
LS,07/09/2008,2,21
LS,07/09/2008,3,31
LS,10/08/2008,1,6
LS,10/08/2008,2,5
LS,10/08/2008,3,5
LS,10/08/2008,1,11
LS,10/08/2008,2,16
LS,10/08/2008,3,9
LS,01/08/2009,1,30
LS,01/08/2009,2,26
LS,01/08/2009,3,27
LS,01/08/2009,1,40
LS,01/08/2009,2,30
LS,01/08/2009,3,19
LS,04/08/2009,1,12
LS,04/08/2009,2,12
LS,04/08/2009,3,25
LS,04/08/2009,1,9
LS,04/08/2009,2,10
LS,04/08/2009,3,9
LS,07/08/2009,1,9
LS,07/08/2009,2,2
LS,07/08/2009,3,6
LS,07/08/2009,1,7
LS,07/08/2009,2,13
LS,07/08/2009,3,13
LS,10/14/2009,1,4
LS,10/14/2009,2,4
LS,10/14/2009,3,5
LS,10/14/2009,1,12
LS,10/14/2009,2,16
LS,10/14/2009,3,13
LS,01/06/2010,1,24
LS,01/06/2010,2,31
LS,01/06/2010,3,18
LS,01/06/2010,1,19
LS,01/06/2010,2,32
LS,01/06/2010,3,40
LS,04/05/2010,1,20
LS,04/05/2010,2,73
LS,04/05/2010,3,26
LS,04/05/2010,1,43
LS,04/05/2010,2,48
LS,04/05/2010,3,54
LS,07/15/2010,1,39
LS,07/15/2010,2,47
LS,07/15/2010,3,32
LS,07/15/2010,1,43
LS,07/15/2010,2,36
LS,07/15/2010,3,31
LS,10/21/2010,1,9
LS,10/21/2010,2,6
LS,10/21/2010,3,5
LS,10/21/2010,1,29
LS,10/21/2010,2,42
LS,10/21/2010,3,23
LS,01/06/2011,1,7
LS,01/06/2011,2,12
LS,01/06/2011,3,7
LS,01/06/2011,1,34
LS,01/06/2011,2,37
LS,01/06/2011,3,42
LS,04/04/2011,1,27
LS,04/04/2011,2,25
LS,04/04/2011,3,30
LS,04/04/2011,1,46
LS,04/04/2011,2,33
LS,04/04/2011,3,38
LS,07/11/2011,1,42
LS,07/11/2011,2,18
LS,07/11/2011,3,12
LS,07/11/2011,1,36
LS,07/11/2011,2,44
LS,07/11/2011,3,56
LS,10/03/2011,1,22
LS,10/03/2011,2,10
LS,10/03/2011,3,12
LS,10/03/2011,1,48
LS,10/03/2011,2,59
LS,10/03/2011,3,79
LS,01/04/2012,1,34
LS,01/04/2012,2,61
LS,01/04/2012,3,66
LS,01/04/2012,1,139
LS,01/04/2012,2,137
LS,01/04/2012,3,175
LS,04/02/2012,1,17
LS,04/02/2012,2,14
LS,04/02/2012,3,7
LS,04/02/2012,1,79
LS,04/02/2012,2,83
LS,04/02/2012,3,102
LS,07/10/2012,1,4
LS,07/10/2012,2,4
LS,07/10/2012,3,6
LS,07/10/2012,1,56
LS,07/10/2012,2,47
LS,07/10/2012,3,32
LS,10/02/2012,1,8
LS,10/02/2012,2,9
LS,10/02/2012,3,10
LS,10/02/2012,1,28
LS,10/02/2012,2,28
LS,10/02/2012,3,23
LS,01/11/2013,1,20
LS,01/11/2013,2,18
LS,01/11/2013,3,14
LS,01/11/2013,1,55
LS,01/11/2013,2,57
LS,01/11/2013,3,48
LS,04/15/2013,1,8
LS,04/15/2013,2,9
LS,04/15/2013,3,15
LS,04/15/2013,1,58
LS,04/15/2013,2,49
LS,04/15/2013,3,53
LS,07/08/2013,1,61
LS,07/08/2013,2,18
LS,07/08/2013,3,29
LS,07/08/2013,1,28
LS,07/08/2013,2,49
LS,07/08/2013,3,47
LS,10/01/2013,1,6
LS,10/01/2013,2,6
LS,10/01/2013,3,16
LS,10/01/2013,1,34
LS,10/01/2013,2,34
LS,10/01/2013,3,50
LS,01/08/2014,1,17
LS,01/08/2014,2,16
LS,01/08/2014,3,107
LS,01/08/2014,1,92
LS,01/08/2014,2,92
LS,01/08/2014,3,105
