Bay,DATE,gm2
LS,01/30/1987,0.0016058751
LS,03/04/1987,0.0032599691
LS,04/10/1987,0.0046058409
LS,06/03/1987,0.0054756702
LS,07/15/1987,0.0018498055
LS,04/18/1988,0.0040078332
LS,07/08/1988,0.0010683773
LS,11/22/1988,0.0008882659
LS,04/04/1989,0.0052591583
LS,07/23/1989,0.0114425103
LS,12/05/1989,0.0035081541
LS,04/10/1990,0.0048611169
LS,08/02/1990,0.0025142322
LS,10/19/1990,0.0018067868
LS,01/23/1991,0.1144789949
LS,04/22/1991,0.0055054524
LS,07/17/1991,0.0037119021
LS,10/15/1991,0.0024582133
LS,01/20/1992,0.0016824579
LS,04/06/1992,0.0002997129
LS,07/12/1992,0.0001900388
LS,10/07/1992,0.0010664864
LS,01/12/1993,0.0020530809
LS,04/05/1993,0.0068527424
LS,07/09/1993,0.0019982438
LS,10/11/1993,0.0085980739
LS,01/05/1994,0.0021244636
LS,04/07/1994,0.0036031735
LS,07/07/1994,0.0028321454
LS,10/20/1994,0.0158928219
LS,01/10/1995,0.0035923479
LS,04/05/1995,0.0044692209
LS,07/06/1995,0.0008457199
LS,10/04/1995,0.0008617929
LS,01/10/1996,0.0019613706
LS,04/03/1996,0.0016422756
LS,07/10/1996,0.0034689172
LS,10/15/1996,0.0020625355
LS,01/22/1997,0.0129160201
LS,04/07/1997,0.0029895656
LS,07/08/1997,0.0010021947
LS,10/16/1997,0.0004259327
LS,01/12/1998,0.0016328209
LS,04/02/1998,0.0056884002
LS,07/07/1998,0.0010792502
LS,10/13/1998,0.0012083064
LS,01/06/1999,0.0001077832
LS,04/07/1999,0.0021674823
LS,07/02/1999,0.0015567109
LS,10/22/1999,0.0003725139
LS,01/25/2000,0.002751308
LS,04/24/2000,0.0028661822
LS,07/11/2000,0.0024066854
LS,01/07/2004,0.0003016039
LS,04/07/2004,0.0005833529
LS,07/07/2004,0.000393456
LS,10/05/2004,0.0004457875
LS,01/05/2005,0.0002713489
LS,04/13/2005,0.0036934655
LS,07/06/2005,0.0008840113
LS,10/11/2005,0.0002760763
LS,01/06/2006,0.0004698969
LS,04/06/2006,0.0034972812
LS,07/12/2006,0.0015827112
LS,10/11/2006,0.0011506329
LS,01/08/2007,0.0010532499
LS,04/04/2007,0.002602397
LS,07/25/2007,0.0000893466
LS,10/03/2007,0.0002505487
LS,01/09/2008,0.0001058923
LS,04/03/2008,0.0009487758
LS,07/09/2008,0.0007369913
LS,10/08/2008,0.0001895661
LS,01/08/2009,0.0026860708
LS,04/08/2009,0.0035710276
LS,07/08/2009,0.0019769708
LS,10/14/2009,0.0035275361
LS,01/06/2010,0.0040612521
LS,04/05/2010,0.0039875057
LS,07/15/2010,0.0033842979
LS,10/21/2010,0.0020691538
LS,01/06/2011,0.0005214249
LS,04/04/2011,0.0025305415
LS,07/11/2011,0.003013675
LS,10/03/2011,0.0059569127
LS,01/04/2012,0.0128337645
LS,04/02/2012,0.0097052153
LS,07/10/2012,0.0059172031
LS,10/02/2012,0.0024846864
LS,01/11/2013,0.0407255039
LS,04/15/2013,0.009303392
LS,07/08/2013,0.0332865722
LS,10/01/2013,0.0027456352
LS,01/08/2014,0.0463968857
LS,04/07/2014,0.0113503273
LS,07/09/2014,0.0967756043
LS,10/08/2014,0.0145786233
LS,01/19/2015,0.0089975335
LS,04/20/2015,0.0166577045
LS,07/07/2015,0.0001120378
LS,10/06/2015,0.0001777477
LS,01/20/2016,0.0029947657
LS,04/04/2016,0.0042115813
LS,07/12/2016,0.0002009117
LS,10/03/2016,0.0073798401
LS,02/22/2017,0.0017911866
LS,04/07/2017,0.0043099098
LS,07/05/2017,0.0003866959
LS,10/09/2017,0.0003224041
LS,01/09/2018,0.0008632111
