Bay,DATE,Chl
MB,07/09/2013,5.11
MB,07/09/2013,5.60
MB,10/02/2013,6.98
MB,10/02/2013,5.53
MB,01/09/2014,1.68
MB,01/09/2014,2.72
MB,04/08/2014,7.30
MB,04/08/2014,7.58
MB,07/08/2014,4.06
MB,07/08/2014,8.22
MB,10/09/2014,4.38
MB,10/09/2014,4.50
MB,01/20/2015,4.49
MB,01/20/2015,3.78
MB,04/21/2015,13.95
MB,04/21/2015,6.43
MB,07/08/2015,13.12
MB,07/08/2015,9.36
MB,10/07/2015,2.61
MB,10/07/2015,8.15
MB,01/07/2016,3.64
MB,01/07/2016,7.78
MB,04/05/2016,5.26
MB,04/05/2016,5.61
MB,07/13/2016,8.28
MB,07/13/2016,8.97
