Bay,DATE,REP,N
MB,04/18/1988,1,74
MB,04/18/1988,2,160
MB,04/18/1988,3,108
MB,04/18/1988,1,183
MB,04/18/1988,2,369
MB,04/18/1988,3,520
MB,07/19/1988,1,94
MB,07/19/1988,2,50
MB,07/19/1988,3,46
MB,07/19/1988,1,98
MB,07/19/1988,2,78
MB,07/19/1988,3,97
MB,11/22/1988,1,56
MB,11/22/1988,2,54
MB,11/22/1988,3,42
MB,11/22/1988,1,141
MB,11/22/1988,2,119
MB,11/22/1988,3,174
MB,04/05/1989,1,34
MB,04/05/1989,2,41
MB,04/05/1989,3,12
MB,04/05/1989,1,99
MB,04/05/1989,2,99
MB,04/05/1989,3,117
MB,07/22/1989,1,26
MB,07/22/1989,2,16
MB,07/22/1989,3,9
MB,07/22/1989,1,69
MB,07/22/1989,2,89
MB,07/22/1989,3,85
MB,12/05/1989,1,35
MB,12/05/1989,2,67
MB,12/05/1989,3,84
MB,12/05/1989,1,78
MB,12/05/1989,2,49
MB,12/05/1989,3,57
MB,04/10/1990,1,92
MB,04/10/1990,2,89
MB,04/10/1990,3,62
MB,04/10/1990,1,75
MB,04/10/1990,2,107
MB,04/10/1990,3,85
MB,07/31/1990,1,92
MB,07/31/1990,2,98
MB,07/31/1990,3,46
MB,07/31/1990,1,33
MB,07/31/1990,2,41
MB,07/31/1990,3,60
MB,10/23/1990,1,168
MB,10/23/1990,2,135
MB,10/23/1990,3,142
MB,10/23/1990,1,26
MB,10/23/1990,2,38
MB,10/23/1990,3,27
MB,01/25/1991,1,95
MB,01/25/1991,2,66
MB,01/25/1991,3,105
MB,01/25/1991,1,49
MB,01/25/1991,2,55
MB,01/25/1991,3,58
MB,04/24/1991,1,93
MB,04/24/1991,2,60
MB,04/24/1991,3,82
MB,04/24/1991,1,130
MB,04/24/1991,2,96
MB,04/24/1991,3,170
MB,07/24/1991,1,59
MB,07/24/1991,2,65
MB,07/24/1991,3,64
MB,07/24/1991,1,29
MB,07/24/1991,2,43
MB,07/24/1991,3,73
MB,10/14/1991,1,68
MB,10/14/1991,2,54
MB,10/14/1991,3,53
MB,10/14/1991,1,43
MB,10/14/1991,2,40
MB,10/14/1991,3,56
MB,01/20/1992,1,12
MB,01/20/1992,2,10
MB,01/20/1992,3,11
MB,01/20/1992,1,45
MB,01/20/1992,2,25
MB,01/20/1992,3,35
MB,04/06/1992,1,25
MB,04/06/1992,2,5
MB,04/06/1992,3,4
MB,04/06/1992,1,16
MB,04/06/1992,2,71
MB,04/06/1992,3,63
MB,07/12/1992,1,37
MB,07/12/1992,2,29
MB,07/12/1992,3,26
MB,07/12/1992,1,33
MB,07/12/1992,2,28
MB,07/12/1992,3,38
MB,10/06/1992,1,110
MB,10/06/1992,2,69
MB,10/06/1992,3,64
MB,10/06/1992,1,58
MB,10/06/1992,2,78
MB,10/06/1992,3,63
MB,01/12/1993,1,113
MB,01/12/1993,2,62
MB,01/12/1993,3,70
MB,01/12/1993,1,85
MB,01/12/1993,2,19
MB,01/12/1993,3,35
MB,01/12/1993,1,76
MB,01/12/1993,2,56
MB,01/12/1993,3,39
MB,01/12/1993,1,33
MB,01/12/1993,2,77
MB,01/12/1993,3,48
MB,04/05/1993,1,44
MB,04/05/1993,2,32
MB,04/05/1993,3,19
MB,04/05/1993,1,106
MB,04/05/1993,2,88
MB,04/05/1993,3,66
MB,04/05/1993,1,48
MB,04/05/1993,2,47
MB,04/05/1993,3,62
MB,04/05/1993,1,81
MB,04/05/1993,2,67
MB,04/05/1993,3,91
MB,07/09/1993,1,13
MB,07/09/1993,2,18
MB,07/09/1993,3,34
MB,07/09/1993,1,18
MB,07/09/1993,2,18
MB,07/09/1993,3,26
MB,07/09/1993,1,26
MB,07/09/1993,2,32
MB,07/09/1993,3,21
MB,07/09/1993,1,35
MB,07/09/1993,2,27
MB,07/09/1993,3,41
MB,10/11/1993,1,30
MB,10/11/1993,2,45
MB,10/11/1993,3,12
MB,10/11/1993,1,23
MB,10/11/1993,2,29
MB,10/11/1993,3,21
MB,10/11/1993,1,21
MB,10/11/1993,2,27
MB,10/11/1993,3,15
MB,10/11/1993,1,15
MB,10/11/1993,2,19
MB,10/11/1993,3,12
MB,01/05/1994,1,16
MB,01/05/1994,2,37
MB,01/05/1994,3,27
MB,01/05/1994,1,28
MB,01/05/1994,2,51
MB,01/05/1994,3,70
MB,01/05/1994,1,138
MB,01/05/1994,2,124
MB,01/05/1994,3,170
MB,01/05/1994,1,25
MB,01/05/1994,2,32
MB,01/05/1994,3,41
MB,04/07/1994,1,10
MB,04/07/1994,2,11
MB,04/07/1994,3,10
MB,04/07/1994,1,56
MB,04/07/1994,2,25
MB,04/07/1994,3,38
MB,04/07/1994,1,73
MB,04/07/1994,2,58
MB,04/07/1994,3,101
MB,04/07/1994,1,14
MB,04/07/1994,2,23
MB,04/07/1994,3,17
MB,07/07/1994,1,15
MB,07/07/1994,2,18
MB,07/07/1994,3,12
MB,07/07/1994,1,48
MB,07/07/1994,2,29
MB,07/07/1994,3,29
MB,07/07/1994,1,59
MB,07/07/1994,2,32
MB,07/07/1994,3,69
MB,07/07/1994,1,15
MB,07/07/1994,2,18
MB,07/07/1994,3,35
MB,10/20/1994,1,18
MB,10/20/1994,2,38
MB,10/20/1994,3,27
MB,10/20/1994,1,37
MB,10/20/1994,2,26
MB,10/20/1994,3,65
MB,10/20/1994,1,26
MB,10/20/1994,2,27
MB,10/20/1994,3,25
MB,10/20/1994,1,41
MB,10/20/1994,2,59
MB,10/20/1994,3,21
MB,01/10/1995,1,32
MB,01/10/1995,2,52
MB,01/10/1995,3,13
MB,01/10/1995,1,62
MB,01/10/1995,2,44
MB,01/10/1995,3,53
MB,01/10/1995,1,49
MB,01/10/1995,2,27
MB,01/10/1995,3,29
MB,01/10/1995,1,79
MB,01/10/1995,2,91
MB,01/10/1995,3,145
MB,04/06/1995,1,21
MB,04/06/1995,2,37
MB,04/06/1995,3,23
MB,04/06/1995,1,264
MB,04/06/1995,2,100
MB,04/06/1995,3,145
MB,04/06/1995,1,50
MB,04/06/1995,2,33
MB,04/06/1995,3,47
MB,04/06/1995,1,128
MB,04/06/1995,2,142
MB,04/06/1995,3,90
MB,07/06/1995,1,24
MB,07/06/1995,2,65
MB,07/06/1995,3,29
MB,07/06/1995,1,58
MB,07/06/1995,2,31
MB,07/06/1995,3,49
MB,07/06/1995,1,25
MB,07/06/1995,2,27
MB,07/06/1995,3,23
MB,07/06/1995,1,189
MB,07/06/1995,2,94
MB,07/06/1995,3,189
MB,10/04/1995,1,16
MB,10/04/1995,2,26
MB,10/04/1995,3,30
MB,10/04/1995,1,8
MB,10/04/1995,2,15
MB,10/04/1995,3,29
MB,10/04/1995,1,43
MB,10/04/1995,2,20
MB,10/04/1995,3,28
MB,10/04/1995,1,29
MB,10/04/1995,2,69
MB,10/04/1995,3,11
MB,01/09/1996,1,17
MB,01/09/1996,2,41
MB,01/09/1996,3,25
MB,01/09/1996,1,52
MB,01/09/1996,2,35
MB,01/09/1996,3,35
MB,01/09/1996,1,19
MB,01/09/1996,2,29
MB,01/09/1996,3,21
MB,01/09/1996,1,55
MB,01/09/1996,2,62
MB,01/09/1996,3,46
MB,04/02/1996,1,9
MB,04/02/1996,2,34
MB,04/02/1996,3,17
MB,04/02/1996,1,53
MB,04/02/1996,2,61
MB,04/02/1996,3,41
MB,04/02/1996,1,9
MB,04/02/1996,2,16
MB,04/02/1996,3,18
MB,04/02/1996,1,40
MB,04/02/1996,2,25
MB,04/02/1996,3,35
MB,07/09/1996,1,2
MB,07/09/1996,2,7
MB,07/09/1996,3,3
MB,07/09/1996,1,44
MB,07/09/1996,2,23
MB,07/09/1996,3,41
MB,07/09/1996,1,19
MB,07/09/1996,2,24
MB,07/09/1996,3,19
MB,07/09/1996,1,13
MB,07/09/1996,2,14
MB,07/09/1996,3,17
MB,10/14/1996,1,13
MB,10/14/1996,2,7
MB,10/14/1996,3,9
MB,10/14/1996,1,98
MB,10/14/1996,2,56
MB,10/14/1996,3,94
MB,10/14/1996,1,84
MB,10/14/1996,2,72
MB,10/14/1996,3,71
MB,10/14/1996,1,26
MB,10/14/1996,2,27
MB,10/14/1996,3,22
MB,01/25/1997,1,29
MB,01/25/1997,2,10
MB,01/25/1997,3,11
MB,01/25/1997,1,29
MB,01/25/1997,2,86
MB,01/25/1997,3,78
MB,01/25/1997,1,46
MB,01/25/1997,2,23
MB,01/25/1997,3,29
MB,01/25/1997,1,30
MB,01/25/1997,2,35
MB,01/25/1997,3,23
