Bay,DATE,gm2
MB,04/18/1988,0.0008996872
MB,07/19/1988,0.0005798594
MB,11/22/1988,0.0002885895
MB,04/05/1989,0.0012633609
MB,07/22/1989,0.0015553588
MB,12/05/1989,0.0015568811
MB,04/10/1990,0.001276068
MB,07/31/1990,0.0004733384
MB,10/23/1990,0.0021443846
MB,01/25/1991,0.0007964422
MB,04/24/1991,0.0014598242
MB,07/24/1991,0.0005192361
MB,10/14/1991,0.0003422306
MB,01/20/1992,0.0002732682
MB,04/06/1992,0.0004350849
MB,07/12/1992,0.0002672125
MB,10/06/1992,0.0003043079
MB,01/12/1993,0.0002531818
MB,04/05/1993,0.0006658473
MB,07/09/1993,0.000107613
MB,10/11/1993,0.0001339703
MB,01/05/1994,0.0002768752
MB,04/07/1994,0.0003524392
MB,07/07/1994,0.0005601535
MB,10/20/1994,0.0003582468
MB,01/10/1995,0.0005212381
MB,04/06/1995,0.0005495312
MB,07/06/1995,0.0002810116
MB,10/04/1995,0.0002072163
MB,01/09/1996,0.0003273229
MB,04/02/1996,0.0002334594
MB,07/09/1996,0.0003022893
MB,10/14/1996,0.0002319702
MB,01/25/1997,0.0002549853
MB,04/15/1997,0.0001664329
MB,07/09/1997,0.0001946432
MB,10/17/1997,0.0002414277
MB,01/09/1998,0.0002372152
MB,04/01/1998,0.0003479223
MB,07/06/1998,0.0001862049
MB,10/12/1998,0.0001342515
MB,01/05/1999,0.0001727368
MB,04/06/1999,0.0002294884
MB,07/01/1999,0.0003057805
MB,10/21/1999,0.0003880621
MB,01/19/2000,0.0005031206
MB,04/21/2000,0.0003271575
MB,07/10/2000,0.0002673118
MB,10/04/2000,0.0010143486
MB,01/04/2001,0.0007277777
MB,04/03/2001,0.001561216
MB,07/10/2001,0.0002926267
MB,10/01/2001,0.0001958014
MB,01/03/2002,0.0005384953
MB,04/01/2002,0.0002907735
MB,07/08/2002,0.0004359783
MB,10/09/2002,0.0001628425
MB,01/14/2003,0.0002535127
MB,04/14/2003,0.0006665256
MB,07/21/2003,0.000209435
MB,10/13/2003,0.0002714482
MB,01/08/2004,0.0003291264
MB,04/06/2004,0.000301793
MB,07/01/2004,0.0001590369
MB,07/17/2004,0.00002462
MB,10/11/2004,0.0000299477
MB,10/12/2004,0.0000676056
MB,01/04/2005,0.0000922752
MB,04/06/2005,0.0002269238
MB,06/30/2005,0.0003581475
MB,07/01/2005,0.0000791214
MB,10/03/2005,0.0001103596
MB,10/04/2005,0.0004116893
MB,01/03/2006,0.0002984673
MB,04/03/2006,0.0005060989
MB,04/05/2006,0.0001870653
MB,07/10/2006,0.0002745919
MB,07/11/2006,0.0001959669
MB,10/09/2006,0.0000592997
MB,10/10/2006,0.0001147277
MB,01/05/2007,0.0000804285
MB,04/02/2007,0.0005652
MB,04/03/2007,0.0001972574
MB,07/23/2007,0.0000292858
MB,07/24/2007,0.0000676387
MB,10/01/2007,0.0000145271
MB,10/02/2007,0.0000656532
MB,01/07/2008,0.0000959318
MB,01/08/2008,0.0000828938
MB,04/01/2008,0.0025339358
MB,04/02/2008,0.0008444577
MB,07/07/2008,0.0003050194
MB,07/08/2008,0.0002340219
MB,10/06/2008,0.0001061074
MB,10/07/2008,0.0006908147
MB,01/06/2009,0.0002655745
MB,01/07/2009,0.0003109593
