Bay,DATE,DIN,DON,Temp
MB,07/09/2013,0.0750866667,0.4264171744,29.62
MB,07/09/2013,0.077,0.2462238158,29.28
MB,10/02/2013,0.0622766667,0.6326659797,27.69
MB,10/02/2013,0.05824,0.6891501033,27.96
MB,01/09/2014,0.03164,0.4777746684,8.90
MB,01/09/2014,0.02842,0.4816083415,10.03
MB,04/08/2014,0.1216133333,0.41832,18.56
MB,04/08/2014,0.05306,0.43162,18.90
MB,07/08/2014,0.0489766667,0.6498081602,30.03
MB,07/08/2014,0.03703,0.532208219,29.79
MB,10/09/2014,0.0553933333,0.5279847201,26.94
MB,10/09/2014,0.03696,0.5035896021,26.94
MB,01/20/2015,0.0397833333,0.58514907,11.04
MB,01/20/2015,0.08246,0.4582432116,10.40
MB,04/21/2015,0.743785,0.9676051267,22.07
MB,04/21/2015,0.1757,0.4065691856,22.30
MB,07/08/2015,0.05222,0.702101547,29.05
MB,07/08/2015,0.1693533333,0.4266479222,27.83
MB,10/07/2015,0.0211866667,0.5796792023,26.77
MB,10/07/2015,0.02884,0.5698761677,26.57
MB,01/07/2016,0.12103,0.7720409383,13.79
MB,01/07/2016,0.1001,0.6433450213,13.71
MB,04/05/2016,0.0672,0.4682120309,20.39
MB,04/05/2016,0.02541,0.4821904334,20.37
MB,07/13/2016,0.0217933333,0.5160498187,29.90
MB,07/13/2016,0.09177,0.4677575313,29.23
