Bay,DATE,REP,N
NB,10/20/1987,1,20
NB,10/20/1987,2,19
NB,10/20/1987,3,12
NB,10/21/1987,1,9
NB,10/21/1987,2,10
NB,10/21/1987,3,12
NB,12/08/1987,1,23
NB,12/08/1987,2,21
NB,12/08/1987,3,18
NB,12/09/1987,1,17
NB,12/09/1987,2,34
NB,12/09/1987,3,24
NB,02/16/1988,1,31
NB,02/16/1988,2,28
NB,02/16/1988,3,25
NB,02/17/1988,1,73
NB,02/17/1988,2,62
NB,02/17/1988,3,76
NB,04/12/1988,1,21
NB,04/12/1988,2,20
NB,04/12/1988,3,27
NB,04/13/1988,1,41
NB,04/13/1988,2,19
NB,04/13/1988,3,20
NB,05/10/1988,1,30
NB,05/10/1988,2,23
NB,05/10/1988,3,30
NB,05/11/1988,1,42
NB,05/11/1988,2,10
NB,05/11/1988,3,31
NB,07/27/1988,1,12
NB,07/27/1988,2,20
NB,07/27/1988,3,26
NB,07/27/1988,1,23
NB,07/27/1988,2,23
NB,07/27/1988,3,17
NB,07/30/1990,1,22
NB,07/30/1990,2,16
NB,07/30/1990,3,26
NB,07/30/1990,1,8
NB,07/30/1990,2,11
NB,07/30/1990,3,5
NB,10/15/1990,1,59
NB,10/15/1990,2,66
NB,10/15/1990,3,53
NB,10/15/1990,1,92
NB,10/15/1990,2,254
NB,10/15/1990,3,348
NB,01/22/1991,1,19
NB,01/22/1991,2,18
NB,01/22/1991,3,12
NB,01/22/1991,1,172
NB,01/22/1991,2,119
NB,01/22/1991,3,116
NB,04/11/1991,1,39
NB,04/11/1991,2,42
NB,04/11/1991,3,46
NB,04/11/1991,1,76
NB,04/11/1991,2,70
NB,04/11/1991,3,84
NB,07/16/1991,1,19
NB,07/16/1991,2,21
NB,07/16/1991,3,35
NB,07/16/1991,1,42
NB,07/16/1991,2,71
NB,07/16/1991,3,89
NB,10/16/1991,1,16
NB,10/16/1991,2,14
NB,10/16/1991,3,19
NB,10/16/1991,1,20
NB,10/16/1991,2,23
NB,10/16/1991,3,15
NB,01/14/1992,1,9
NB,01/14/1992,2,3
NB,01/14/1992,3,11
NB,01/14/1992,1,24
NB,01/14/1992,2,9
NB,01/14/1992,3,15
NB,04/07/1992,1,12
NB,04/07/1992,2,21
NB,04/07/1992,3,13
NB,04/07/1992,1,24
NB,04/07/1992,2,13
NB,04/07/1992,3,5
NB,07/07/1992,1,14
NB,07/07/1992,2,14
NB,07/07/1992,3,15
NB,07/07/1992,1,22
NB,07/07/1992,2,18
NB,07/07/1992,3,11
NB,10/09/1992,1,52
NB,10/09/1992,2,65
NB,10/09/1992,3,38
NB,10/09/1992,1,122
NB,10/09/1992,2,153
NB,10/09/1992,3,129
NB,01/15/1993,1,71
NB,01/15/1993,2,98
NB,01/15/1993,3,134
NB,01/15/1993,1,148
NB,01/15/1993,2,221
NB,01/15/1993,3,187
NB,04/09/1993,1,199
NB,04/09/1993,2,126
NB,04/09/1993,3,143
NB,04/09/1993,1,70
NB,04/09/1993,2,84
NB,04/09/1993,3,105
NB,07/10/1993,1,12
NB,07/10/1993,2,26
NB,07/10/1993,3,30
NB,07/10/1993,1,24
NB,07/10/1993,2,17
NB,07/10/1993,3,28
NB,10/18/1993,1,8
NB,10/18/1993,2,12
NB,10/18/1993,3,9
NB,10/18/1993,1,16
NB,10/18/1993,2,20
NB,10/18/1993,3,8
NB,01/12/1994,1,38
NB,01/12/1994,2,33
NB,01/12/1994,3,48
NB,01/12/1994,1,32
NB,01/12/1994,2,30
NB,01/12/1994,3,42
NB,04/08/1994,1,17
NB,04/08/1994,2,7
NB,04/08/1994,3,20
NB,04/08/1994,1,34
NB,04/08/1994,2,29
NB,04/08/1994,3,33
NB,07/05/1994,1,60
NB,07/05/1994,2,48
NB,07/05/1994,3,27
NB,07/05/1994,1,30
NB,07/05/1994,2,27
NB,07/05/1994,3,20
NB,10/21/1994,1,49
NB,10/21/1994,2,23
NB,10/21/1994,3,36
NB,10/21/1994,1,32
NB,10/21/1994,2,18
NB,10/21/1994,3,35
NB,01/12/1995,1,7
NB,01/12/1995,2,9
NB,01/12/1995,3,4
NB,01/12/1995,1,47
NB,01/12/1995,2,23
NB,01/12/1995,3,57
NB,04/07/1995,1,10
NB,04/07/1995,2,15
NB,04/07/1995,3,11
NB,04/07/1995,1,36
NB,04/07/1995,2,43
NB,04/07/1995,3,28
NB,07/07/1995,1,9
NB,07/07/1995,2,10
NB,07/07/1995,3,6
NB,07/07/1995,1,17
NB,07/07/1995,2,14
NB,07/07/1995,3,16
NB,10/06/1995,1,37
NB,10/06/1995,2,44
NB,10/06/1995,3,53
NB,10/06/1995,1,38
NB,10/06/1995,2,27
NB,10/06/1995,3,62
NB,01/04/1996,1,16
NB,01/04/1996,2,3
NB,01/04/1996,3,2
NB,01/04/1996,1,51
NB,01/04/1996,2,58
NB,01/04/1996,3,59
NB,04/03/1996,1,59
NB,04/03/1996,2,35
NB,04/03/1996,3,53
NB,04/04/1996,1,71
NB,04/04/1996,2,26
NB,04/04/1996,3,28
NB,07/08/1996,1,23
NB,07/08/1996,2,22
NB,07/08/1996,3,16
NB,07/08/1996,1,38
NB,07/08/1996,2,77
NB,07/08/1996,3,69
NB,10/26/1996,1,9
NB,10/26/1996,2,12
NB,10/26/1996,3,13
NB,10/26/1996,4,11
NB,10/26/1996,5,8
NB,10/26/1996,1,44
NB,10/26/1996,2,14
NB,10/26/1996,3,32
NB,10/26/1996,4,46
NB,10/26/1996,5,10
NB,01/21/1997,1,36
NB,01/21/1997,2,28
NB,01/21/1997,3,24
NB,01/21/1997,1,42
NB,01/21/1997,2,29
NB,01/21/1997,3,95
NB,04/14/1997,1,37
NB,04/14/1997,2,46
NB,04/14/1997,3,9
NB,04/14/1997,1,45
NB,04/14/1997,2,23
NB,04/14/1997,3,46
NB,07/03/1997,1,56
NB,07/03/1997,2,71
NB,07/03/1997,3,74
NB,07/03/1997,1,62
NB,07/03/1997,2,65
NB,07/03/1997,3,49
NB,10/15/1997,1,20
NB,10/15/1997,2,18
NB,10/15/1997,3,12
NB,10/15/1997,1,103
NB,10/15/1997,2,45
NB,10/15/1997,3,38
NB,01/06/1998,1,68
NB,01/06/1998,2,74
NB,01/06/1998,3,56
NB,01/06/1998,1,54
NB,01/06/1998,2,29
NB,01/06/1998,3,80
NB,04/03/1998,1,16
NB,04/03/1998,2,11
NB,04/03/1998,3,32
NB,04/03/1998,1,85
NB,04/03/1998,2,79
NB,04/03/1998,3,121
NB,07/08/1998,1,37
NB,07/08/1998,2,32
NB,07/08/1998,3,36
NB,07/08/1998,1,58
NB,07/08/1998,2,86
NB,07/08/1998,3,102
NB,10/15/1998,1,12
NB,10/15/1998,2,11
NB,10/15/1998,3,17
NB,10/15/1998,1,54
NB,10/15/1998,2,38
NB,10/15/1998,3,49
NB,01/08/1999,1,34
NB,01/08/1999,2,35
NB,01/08/1999,3,25
NB,01/08/1999,1,104
NB,01/08/1999,2,103
NB,01/08/1999,3,85
NB,04/05/1999,1,40
NB,04/05/1999,2,38
NB,04/05/1999,3,35
NB,04/05/1999,1,59
NB,04/05/1999,2,65
NB,04/05/1999,3,35
NB,07/06/1999,1,23
NB,07/06/1999,2,29
NB,07/06/1999,3,21
NB,07/06/1999,1,53
NB,07/06/1999,2,59
NB,07/06/1999,3,64
NB,10/29/1999,1,10
NB,10/29/1999,2,13
NB,10/29/1999,3,19
NB,10/29/1999,1,33
NB,10/29/1999,2,80
NB,10/29/1999,3,40
NB,01/27/2000,1,42
NB,01/27/2000,2,43
NB,01/27/2000,3,54
NB,01/27/2000,1,174
NB,01/27/2000,2,140
NB,01/27/2000,3,133
NB,04/13/2000,1,84
NB,04/13/2000,2,32
NB,04/13/2000,3,10
NB,04/13/2000,1,71
NB,04/13/2000,2,54
NB,04/13/2000,3,64
NB,07/06/2000,1,9
NB,07/06/2000,2,8
NB,07/06/2000,3,16
NB,07/06/2000,1,95
NB,07/06/2000,2,132
NB,07/06/2000,3,40
NB,10/05/2000,1,9
NB,10/05/2000,2,10
NB,10/05/2000,3,12
NB,10/05/2000,1,29
NB,10/05/2000,2,26
NB,10/05/2000,3,42
NB,01/05/2001,1,10
NB,01/05/2001,2,30
NB,01/05/2001,3,22
NB,01/05/2001,1,185
NB,01/05/2001,2,186
NB,01/05/2001,3,205
NB,04/05/2001,1,13
NB,04/05/2001,2,10
NB,04/05/2001,3,10
NB,04/05/2001,1,147
NB,04/05/2001,2,130
NB,04/05/2001,3,161
NB,07/13/2001,1,19
NB,07/13/2001,2,23
NB,07/13/2001,3,19
NB,07/13/2001,1,68
NB,07/13/2001,2,31
NB,07/13/2001,3,41
NB,10/02/2001,1,5
NB,10/02/2001,2,12
NB,10/02/2001,3,4
NB,10/02/2001,1,50
NB,10/02/2001,2,46
NB,10/02/2001,3,28
NB,01/04/2002,1,9
NB,01/04/2002,2,27
NB,01/04/2002,3,21
NB,01/04/2002,1,97
NB,01/04/2002,2,69
NB,01/04/2002,3,25
NB,04/02/2002,1,61
NB,04/02/2002,2,37
NB,04/02/2002,3,37
NB,04/02/2002,1,83
NB,04/02/2002,2,82
NB,04/02/2002,3,108
NB,07/06/2002,1,23
NB,07/06/2002,2,19
NB,07/06/2002,3,23
NB,07/06/2002,1,139
NB,07/06/2002,2,120
NB,07/06/2002,3,94
NB,10/02/2002,1,14
NB,10/02/2002,2,2
NB,10/02/2002,3,7
NB,10/02/2002,1,7
NB,10/02/2002,2,7
NB,10/02/2002,3,12
NB,01/15/2003,1,4
NB,01/15/2003,2,9
NB,01/15/2003,3,7
NB,01/15/2003,1,3
NB,01/15/2003,2,13
NB,01/15/2003,3,4
NB,04/02/2003,1,7
NB,04/02/2003,2,11
NB,04/02/2003,3,11
NB,04/02/2003,1,21
NB,04/02/2003,2,22
NB,04/02/2003,3,35
NB,07/17/2003,1,38
NB,07/17/2003,2,45
NB,07/17/2003,3,36
NB,07/17/2003,1,28
NB,07/17/2003,2,31
NB,07/17/2003,3,31
NB,10/03/2003,1,51
NB,10/03/2003,2,42
NB,10/03/2003,3,30
NB,10/03/2003,1,15
NB,10/03/2003,2,24
NB,10/03/2003,3,10
NB,01/09/2004,1,23
NB,01/09/2004,2,18
NB,01/09/2004,3,32
NB,01/09/2004,1,15
NB,01/09/2004,2,22
NB,01/09/2004,3,9
NB,04/08/2004,1,30
NB,04/08/2004,2,34
NB,04/08/2004,3,31
NB,04/08/2004,1,28
NB,04/08/2004,2,22
NB,04/08/2004,3,6
NB,07/06/2004,1,19
NB,07/06/2004,2,26
NB,07/06/2004,3,23
NB,07/06/2004,1,23
NB,07/06/2004,2,19
NB,07/06/2004,3,17
NB,10/01/2004,1,16
NB,10/01/2004,2,26
NB,10/01/2004,3,30
NB,10/01/2004,1,21
NB,10/01/2004,2,42
NB,10/01/2004,3,43
NB,01/03/2005,1,9
NB,01/03/2005,2,34
NB,01/03/2005,3,39
NB,01/03/2005,1,12
NB,01/03/2005,2,19
NB,01/03/2005,3,27
NB,04/08/2005,1,55
NB,04/08/2005,2,59
NB,04/08/2005,3,52
NB,04/08/2005,1,14
NB,04/08/2005,2,33
NB,04/08/2005,3,41
NB,07/05/2005,1,52
NB,07/05/2005,2,34
NB,07/05/2005,3,52
NB,07/05/2005,1,32
NB,07/05/2005,2,27
NB,07/05/2005,3,25
NB,10/10/2005,1,9
NB,10/10/2005,2,17
NB,10/10/2005,3,13
NB,10/10/2005,1,29
NB,10/10/2005,2,26
NB,10/10/2005,3,44
NB,01/02/2006,1,24
NB,01/02/2006,2,17
NB,01/02/2006,3,17
NB,01/02/2006,1,3
NB,01/02/2006,2,15
NB,01/02/2006,3,16
NB,04/10/2006,1,54
NB,04/10/2006,2,64
NB,04/10/2006,3,93
NB,04/10/2006,1,50
NB,04/10/2006,2,41
NB,04/10/2006,3,40
NB,07/14/2006,1,24
NB,07/14/2006,2,14
NB,07/14/2006,3,30
NB,07/14/2006,1,32
NB,07/14/2006,2,27
NB,07/14/2006,3,36
NB,10/02/2006,1,18
NB,10/02/2006,2,21
NB,10/02/2006,3,25
NB,10/02/2006,1,19
NB,10/02/2006,2,38
NB,10/02/2006,3,30
NB,01/09/2007,1,52
NB,01/09/2007,2,29
NB,01/09/2007,3,31
NB,01/09/2007,1,24
NB,01/09/2007,2,10
NB,01/09/2007,3,35
NB,04/10/2007,1,37
NB,04/10/2007,2,32
NB,04/10/2007,3,18
NB,04/10/2007,1,42
NB,04/10/2007,2,51
NB,04/10/2007,3,61
NB,07/02/2007,1,51
NB,07/02/2007,2,8
