DATE,B
01/22/1991,1.9
01/22/1991,1.8
01/22/1991,1.2
01/22/1991,17.2
01/22/1991,11.9
01/22/1991,11.6
04/11/1991,3.9
04/11/1991,4.2
04/11/1991,4.6
04/11/1991,7.6
04/11/1991,7
04/11/1991,8.4
07/16/1991,1.9
07/16/1991,2.1
07/16/1991,3.5
07/16/1991,4.2
07/16/1991,7.1
07/16/1991,8.9
10/16/1991,1.6
10/16/1991,1.4
10/16/1991,1.9
10/16/1991,2
10/16/1991,2.3
10/16/1991,1.5
01/14/1992,0.9
01/14/1992,0.3
01/14/1992,1.1
01/14/1992,2.4
01/14/1992,0.9
01/14/1992,1.5
04/07/1992,1.2
04/07/1992,2.1
04/07/1992,1.3
04/07/1992,2.4
04/07/1992,1.3
04/07/1992,0.5
07/07/1992,1.4
07/07/1992,1.4
07/07/1992,1.5
07/07/1992,2.2
07/07/1992,1.8
07/07/1992,1.1
10/09/1992,5.2
10/09/1992,6.5
10/09/1992,3.8
10/09/1992,12.2
10/09/1992,15.3
10/09/1992,12.9
01/15/1993,7.1
01/15/1993,9.8
01/15/1993,13.4
01/15/1993,14.8
01/15/1993,22.1
01/15/1993,18.7
04/09/1993,19.9
04/09/1993,12.6
04/09/1993,14.3
04/09/1993,7
04/09/1993,8.4
04/09/1993,10.5
07/10/1993,1.2
07/10/1993,2.6
07/10/1993,3
07/10/1993,2.4
07/10/1993,1.7
07/10/1993,2.8
10/18/1993,0.8
10/18/1993,1.2
10/18/1993,0.9
10/18/1993,1.6
10/18/1993,2
10/18/1993,0.8
01/12/1994,3.8
01/12/1994,3.3
01/12/1994,4.8
01/12/1994,3.2
01/12/1994,3
01/12/1994,4.2
04/08/1994,1.7
04/08/1994,0.7
04/08/1994,2
04/08/1994,3.4
04/08/1994,2.9
04/08/1994,3.3
07/05/1994,6
07/05/1994,4.8
07/05/1994,2.7
07/05/1994,3
07/05/1994,2.7
07/05/1994,2
10/21/1994,4.9
10/21/1994,2.3
10/21/1994,3.6
10/21/1994,3.2
10/21/1994,1.8
10/21/1994,3.5
01/12/1995,0.7
01/12/1995,0.9
01/12/1995,0.4
01/12/1995,4.7
01/12/1995,2.3
01/12/1995,5.7
04/07/1995,1
04/07/1995,1.5
04/07/1995,1.1
04/07/1995,3.6
04/07/1995,4.3
04/07/1995,2.8
07/07/1995,0.9
07/07/1995,1
07/07/1995,0.6
07/07/1995,1.7
07/07/1995,1.4
07/07/1995,1.6
10/06/1995,3.7
10/06/1995,4.4
10/06/1995,5.3
10/06/1995,3.8
10/06/1995,2.7
10/06/1995,6.2
01/04/1996,1.6
01/04/1996,0.3
01/04/1996,0.2
01/04/1996,5.1
01/04/1996,5.8
01/04/1996,5.9
04/03/1996,5.9
04/03/1996,3.5
04/03/1996,5.3
04/04/1996,7.1
04/04/1996,2.6
04/04/1996,2.8
07/08/1996,2.3
07/08/1996,2.2
07/08/1996,1.6
07/08/1996,3.8
07/08/1996,7.7
07/08/1996,6.9
10/26/1996,0.9
10/26/1996,1.2
10/26/1996,1.3
10/26/1996,1.1
10/26/1996,0.8
10/26/1996,4.4
10/26/1996,1.4
10/26/1996,3.2
10/26/1996,4.6
10/26/1996,1
01/21/1997,3.6
01/21/1997,2.8
01/21/1997,2.4
01/21/1997,4.2
01/21/1997,2.9
01/21/1997,9.5
04/14/1997,3.7
04/14/1997,4.6
04/14/1997,0.9
04/14/1997,4.5
04/14/1997,2.3
04/14/1997,4.6
07/03/1997,5.6
07/03/1997,7.1
