Bay,DATE,gm2
NB,10/20/1987,0.0003110585
NB,10/21/1987,0.0004046597
NB,12/08/1987,0.0005852439
NB,12/09/1987,0.0009795035
NB,02/16/1988,0.0013416172
NB,02/17/1988,0.0027350859
NB,04/12/1988,0.0034750453
NB,04/13/1988,0.015155584
NB,05/10/1988,0.002728232
NB,05/11/1988,0.01287544
NB,07/27/1988,0.005555724
NB,07/30/1990,0.0004150599
NB,10/15/1990,0.0033422247
NB,01/22/1991,0.0041397258
NB,04/11/1991,0.0086600019
NB,07/16/1991,0.0042356907
NB,10/16/1991,0.0042233996
NB,01/14/1992,0.0057214915
NB,04/07/1992,0.0087091662
NB,07/07/1992,0.0010187403
NB,10/09/1992,0.0053953055
NB,01/15/1993,0.0501934071
NB,04/09/1993,0.0269292543
NB,07/10/1993,0.0158181301
NB,10/18/1993,0.0033545157
NB,01/12/1994,0.0055791988
NB,04/08/1994,0.0065601205
NB,07/05/1994,0.0140354527
NB,10/21/1994,0.0064017548
NB,01/12/1995,0.0027631263
NB,04/07/1995,0.0024222856
NB,07/07/1995,0.0020081712
NB,10/06/1995,0.0029460741
NB,01/04/1996,0.0029054191
NB,04/03/1996,0.0050138097
NB,04/04/1996,0.0057219643
NB,07/08/1996,0.0046252229
NB,10/26/1996,0.0098562064
NB,01/21/1997,0.0080095209
NB,04/14/1997,0.0071638009
NB,07/03/1997,0.0068744881
NB,10/15/1997,0.0034079346
NB,01/06/1998,0.0048407893
NB,04/03/1998,0.0079527929
NB,07/08/1998,0.0134478451
NB,10/15/1998,0.0054340697
NB,01/08/1999,0.0074460227
NB,04/05/1999,0.0096385599
NB,07/06/1999,0.0069104159
NB,10/29/1999,0.0066107029
NB,01/27/2000,0.0097520159
NB,04/13/2000,0.010679046
NB,07/06/2000,0.0108823213
NB,10/05/2000,0.0081187223
NB,01/05/2001,0.0119086254
NB,04/05/2001,0.0093719383
NB,07/13/2001,0.0062679713
NB,10/02/2001,0.0054005056
NB,01/04/2002,0.0050043551
NB,04/02/2002,0.008090831
NB,07/06/2002,0.0140411255
NB,10/02/2002,0.0004382238
NB,01/15/2003,0.0005233158
NB,04/02/2003,0.0007544824
NB,07/17/2003,0.0025191959
NB,10/03/2003,0.0039109229
NB,01/09/2004,0.0059611673
NB,04/08/2004,0.0022034101
NB,07/06/2004,0.0019363157
NB,10/01/2004,0.0007738645
NB,01/03/2005,0.0008220833
NB,04/08/2005,0.0017992231
NB,07/05/2005,0.0062703349
NB,10/10/2005,0.0005469525
NB,01/02/2006,0.0020526081
NB,04/10/2006,0.0125964524
NB,07/14/2006,0.0103495509
NB,10/02/2006,0.0122159021
NB,01/09/2007,0.0120258633
NB,04/10/2007,0.0117422233
NB,07/02/2007,0.0060396411
NB,10/04/2007,0.0003063312
NB,01/03/2008,0.0004160053
NB,04/07/2008,0.0029909838
NB,07/02/2008,0.0110109048
NB,10/02/2008,0.0048833353
NB,01/21/2009,0.0070843817
NB,04/03/2009,0.0147360435
NB,07/01/2009,0.0109390493
NB,10/19/2009,0.0107012645
NB,10/07/2011,0.0101169661
NB,01/11/2012,0.0189083879
NB,04/13/2012,0.0071118003
