Date,DON Load SAR,NO3 Load SAR,NH4 Load SAR,DON Load GR,NO3 Load GR,NH4 Load GR,ddon,ddin,dtn,TEMP
01/01/1990,186,6059,49,1263,664,64,0.01449,0.06836,0.08285,12.96607142
01/02/1990,179,5879,47,955,431,52,0.01134,0.06409,0.07543,13.03888888
01/03/1990,175,5763,47,1148,575,60,0.01323,0.06445,0.07768,13.11170634
01/04/1990,173,5696,46,1160,584,60,0.01333,0.06386,0.07719,13.1845238
01/05/1990,171,5645,46,1160,584,60,0.01331,0.06335,0.07666,13.25734126
01/06/1990,147,4968,41,1255,657,64,0.01402,0.0573,0.07132,13.33015872
01/07/1990,123,4232,37,1151,577,60,0.01274,0.04906,0.0618,13.40297618
01/08/1990,124,4251,37,1238,644,63,0.01362,0.04995,0.06357,13.47579364
01/09/1990,120,4137,36,1235,642,63,0.01355,0.04878,0.06233,13.5486111
01/10/1990,150,5057,42,1272,670,65,0.01422,0.05834,0.07256,13.62142856
01/11/1990,155,5198,43,1165,588,60,0.0132,0.05889,0.07209,13.69424602
01/12/1990,134,4568,39,1165,588,60,0.01299,0.05255,0.06554,13.76706348
01/13/1990,124,4270,37,1068,514,56,0.01192,0.04877,0.06069,13.83988094
01/14/1990,117,4041,35,1084,527,57,0.01201,0.0466,0.05861,13.9126984
01/15/1990,113,3906,35,1076,520,57,0.01189,0.04518,0.05707,13.98551586
01/16/1990,109,3769,34,1043,496,55,0.01152,0.04354,0.05506,14.05833332
01/17/1990,104,3592,33,966,439,52,0.0107,0.04116,0.05186,14.13115078
01/18/1990,103,3572,33,1109,546,58,0.01212,0.04209,0.05421,14.20396824
01/19/1990,104,3592,33,1037,491,55,0.01141,0.04171,0.05312,14.2767857
01/20/1990,115,3983,35,1109,546,58,0.01224,0.04622,0.05846,14.34960316
01/21/1990,118,4079,36,1238,644,63,0.01356,0.04822,0.06178,14.42242062
01/22/1990,118,4079,36,1109,546,58,0.01227,0.04719,0.05946,14.49523808
01/23/1990,115,3983,35,1021,479,55,0.01136,0.04552,0.05688,14.56805554
01/24/1990,112,3867,34,1004,467,54,0.01116,0.04422,0.05538,14.640873
01/25/1990,108,3730,34,1098,537,58,0.01206,0.04359,0.05565,14.71369046
01/26/1990,116,4002,35,1010,471,54,0.01126,0.04562,0.05688,14.78650792
01/27/1990,130,4457,38,1129,560,59,0.01259,0.05114,0.06373,14.85932538
01/28/1990,138,4715,40,1101,539,58,0.01239,0.05352,0.06591,14.93214284
01/29/1990,131,4494,38,1115,550,58,0.01246,0.0514,0.06386,15.0049603
01/30/1990,130,4457,38,1029,485,55,0.01159,0.05035,0.06194,15.07777776
01/31/1990,131,4494,38,982,451,53,0.01113,0.05036,0.06149,15.15059522
02/01/1990,131,4476,38,1054,504,56,0.01185,0.05074,0.06259,15.22341268
02/02/1990,136,4642,39,1076,520,57,0.01212,0.05258,0.0647,15.29623014
02/03/1990,146,4950,41,1216,627,62,0.01362,0.0568,0.07042,15.3690476
02/04/1990,155,5216,43,1157,582,60,0.01312,0.05901,0.07213,15.44186506
02/05/1990,234,7209,57,1199,614,62,0.01433,0.07942,0.09375,15.51468252
02/06/1990,229,7093,56,1246,651,64,0.01475,0.07864,0.09339,15.58749998
02/07/1990,192,6204,50,1079,523,57,0.01271,0.06834,0.08105,15.66031743
02/08/1990,176,5796,47,1109,546,58,0.01285,0.06447,0.07732,15.73313489
02/09/1990,177,5813,47,1096,535,58,0.01273,0.06453,0.07726,15.80595235
02/10/1990,177,5813,47,1026,483,55,0.01203,0.06398,0.07601,15.87876981
02/11/1990,171,5662,46,870,370,48,0.01041,0.06126,0.07167,15.95158727
02/12/1990,168,5578,45,897,389,50,0.01065,0.06062,0.07127,16.02440473
02/13/1990,168,5561,45,1048,500,56,0.01216,0.06162,0.07378,16.09722219
02/14/1990,163,5424,44,1112,548,58,0.01275,0.06074,0.07349,16.17003965
02/15/1990,161,5372,44,1048,500,56,0.01209,0.05972,0.07181,16.24285711
02/16/1990,143,4842,41,999,463,54,0.01142,0.054,0.06542,16.31567457
02/17/1990,127,4364,37,1007,469,54,0.01134,0.04924,0.06058,16.38849203
02/18/1990,363,9645,80,908,397,50,0.01271,0.10172,0.11443,16.46130949
02/19/1990,363,9634,80,1034,489,55,0.01397,0.10258,0.11655,16.53412695
02/20/1990,243,7410,59,1118,552,58,0.01361,0.08079,0.0944,16.60694441
02/21/1990,196,6315,51,1404,774,70,0.016,0.0721,0.0881,16.67976187
02/22/1990,204,6504,52,1390,763,69,0.01594,0.07388,0.08982,16.75257933
02/23/1990,178,5829,47,1221,631,63,0.01399,0.0657,0.07969,16.82539679
02/24/1990,293,8430,68,1322,710,67,0.01615,0.09275,0.1089,16.89821425
02/25/1990,388,10020,84,1221,631,63,0.01609,0.10798,0.12407,16.97103171
02/26/1990,262,7813,62,1216,627,62,0.01478,0.08564,0.10042,17.04384917
02/27/1990,208,6597,53,1062,510,56,0.0127,0.07216,0.08486,17.11666663
02/28/1990,193,6220,50,1129,560,59,0.01322,0.06889,0.08211,17.18948409
03/01/1990,196,6300,50,1252,655,64,0.01448,0.07069,0.08517,17.26230155
03/02/1990,194,6252,50,1185,603,61,0.01379,0.06966,0.08345,17.33511901
03/03/1990,200,6394,51,1269,668,65,0.01469,0.07178,0.08647,17.40793647
03/04/1990,490,11379,102,1328,714,67,0.01818,0.12262,0.1408,17.48075393
03/05/1990,521,11733,107,1662,979,80,0.02183,0.12899,0.15082,17.55357139
03/06/1990,324,8983,73,1524,869,75,0.01848,0.1,0.11848,17.62638885
03/07/1990,247,7495,60,1622,947,79,0.01869,0.08581,0.1045,17.69920631
03/08/1990,222,6930,55,1255,657,64,0.01477,0.07706,0.09183,17.77202377
03/09/1990,211,6673,53,1396,768,70,0.01607,0.07564,0.09171,17.84484123
03/10/1990,203,6488,52,1481,835,73,0.01684,0.07448,0.09132,17.91765869
03/11/1990,209,6627,53,1458,817,72,0.01667,0.07569,0.09236,17.99047615
03/12/1990,204,6504,52,1524,869,75,0.01728,0.075,0.09228,18.06329361
03/13/1990,196,6300,50,1536,878,75,0.01732,0.07303,0.09035,18.13611107
03/14/1990,195,6284,50,1507,856,74,0.01702,0.07264,0.08966,18.20892853
03/15/1990,192,6204,50,1444,806,72,0.01636,0.07132,0.08768,18.28174599
03/16/1990,191,6172,50,1453,813,72,0.01644,0.07107,0.08751,18.35456345
03/17/1990,703,13428,137,1427,792,71,0.0213,0.14428,0.16558,18.42738091
03/18/1990,579,12341,116,1604,933,78,0.02183,0.13468,0.15651,18.50019837
03/19/1990,329,9077,74,2336,1519,107,0.02665,0.10777,0.13442,18.57301583
03/20/1990,243,7410,59,2328,1512,106,0.02571,0.09087,0.11658,18.64583329
03/21/1990,206,6566,52,2029,1273,95,0.02235,0.07986,0.10221,18.71865075
03/22/1990,194,6268,50,1914,1182,90,0.02108,0.0759,0.09698,18.79146821
03/23/1990,192,6204,50,1806,1095,86,0.01998,0.07435,0.09433,18.86428567
03/24/1990,191,6172,50,1888,1161,89,0.02079,0.07472,0.09551,18.93710313
03/25/1990,184,6010,48,1917,1184,90,0.02101,0.07332,0.09433,19.00992059
03/26/1990,176,5779,47,1740,1042,83,0.01916,0.06951,0.08867,19.08273805
03/27/1990,176,5779,47,1722,1028,83,0.01898,0.06937,0.08835,19.15555551
03/28/1990,178,5846,47,1850,1130,88,0.02028,0.07111,0.09139,19.22837297
03/29/1990,182,5945,48,1982,1236,93,0.02164,0.07322,0.09486,19.30119043
03/30/1990,734,13667,142,5047,3458,216,0.05781,0.17483,0.23264,19.37400789
03/31/1990,611,12645,122,3453,2371,151,0.04064,0.15289,0.19353,19.44682535
04/01/1990,579,12334,116,3422,2348,150,0.04001,0.14948,0.18949,19.51964281
04/02/1990,1181,16032,214,3174,2164,140,0.04355,0.1855,0.22905,19.59246027
04/03/1990,652,13014,128,2764,1853,124,0.03416,0.15119,0.18535,19.66527773
04/04/1990,363,9634,80,2247,1448,103,0.0261,0.11265,0.13875,19.73809519
04/05/1990,279,8146,65,2099,1330,97,0.02378,0.09638,0.12016,19.81091265
04/06/1990,255,7662,61,1946,1208,91,0.02201,0.09022,0.11223,19.88373011
04/07/1990,243,7410,59,1836,1119,87,0.02079,0.08675,0.10754,19.95654757
04/08/1990,233,7195,57,2032,1276,95,0.02265,0.08623,0.10888,20.02936503
04/09/1990,227,7049,56,2029,1273,95,0.02256,0.08473,0.10729,20.10218249
04/10/1990,228,7063,56,2084,1318,97,0.02312,0.08534,0.10846,20.17499995
04/11/1990,225,7004,56,2008,1257,94,0.02233,0.08411,0.10644,20.26270265
04/12/1990,198,6347,51,1783,1077,85,0.01981,0.0756,0.09541,20.35040536
04/13/1990,195,6284,50,1900,1170,90,0.02095,0.07594,0.09689,20.43810806
04/14/1990,188,6091,49,2070,1306,96,0.02258,0.07542,0.098,20.52581076
04/15/1990,165,5475,45,2117,1344,98,0.02282,0.06962,0.09244,20.61351346
04/16/1990,154,5181,43,1786,1079,85,0.0194,0.06388,0.08328,20.70121617
04/17/1990,156,5233,43,1961,1219,92,0.02117,0.06587,0.08704,20.78891887
04/18/1990,155,5198,43,1888,1161,89,0.02043,0.06491,0.08534,20.87662157
04/19/1990,143,4860,41,1885,1158,89,0.02028,0.06148,0.08176,20.96432428
04/20/1990,140,4770,40,1873,1149,89,0.02013,0.06048,0.08061,21.05202698
04/21/1990,140,4770,40,1792,1084,85,0.01932,0.05979,0.07911,21.13972968
04/22/1990,138,4697,40,1728,1033,83,0.01866,0.05853,0.07719,21.22743238
04/23/1990,138,4697,40,1780,1074,85,0.01918,0.05896,0.07814,21.31513509
04/24/1990,138,4697,40,1743,1044,83,0.01881,0.05864,0.07745,21.40283779
04/25/1990,137,4660,39,1725,1030,83,0.01862,0.05812,0.07674,21.49054049
04/26/1990,142,4824,40,2513,1658,114,0.02655,0.06636,0.09291,21.5782432
04/27/1990,1173,16000,213,6776,4471,289,0.07949,0.20973,0.28922,21.6659459
04/28/1990,1893,17741,329,6237,4172,266,0.0813,0.22508,0.30638,21.7536486
04/29/1990,3293,18650,557,9094,5605,390,0.12387,0.25202,0.37589,21.8413513
04/30/1990,2057,17958,356,6271,4191,267,0.08328,0.22772,0.311,21.92905401
05/01/1990,621,12736,123,4304,2971,186,0.04925,0.16016,0.20941,22.01675671
05/02/1990,445,10812,94,2837,1909,127,0.03282,0.12942,0.16224,22.10445941
05/03/1990,367,9700,81,2658,1771,120,0.03025,0.11672,0.14697,22.19216212
05/04/1990,341,9275,76,3359,2302,148,0.037,0.11801,0.15501,22.27986482
05/05/1990,350,9423,78,3328,2279,146,0.03678,0.11926,0.15604,22.36756752
05/06/1990,1375,16664,246,6170,4134,263,0.07545,0.21307,0.28852,22.45527022
05/07/1990,750,13782,144,8707,5431,373,0.09457,0.1973,0.29187,22.54297293
05/08/1990,403,10236,87,5870,3960,250,0.06273,0.14533,0.20806,22.63067563
05/09/1990,315,8839,72,4949,3396,212,0.05264,0.12519,0.17783,22.71837833
05/10/1990,281,8186,66,4658,3207,200,0.04939,0.11659,0.16598,22.80608104
05/11/1990,259,7745,62,4304,2971,186,0.04563,0.10964,0.15527,22.89378374
05/12/1990,311,8754,71,4273,2949,184,0.04584,0.11958,0.16542,22.98148644
05/13/1990,367,9700,81,4018,2774,174,0.04385,0.12729,0.17114,23.06918915
05/14/1990,256,7690,61,3955,2730,172,0.04211,0.10653,0.14864,23.15689185
05/15/1990,205,6535,52,3766,2596,164,0.03971,0.09347,0.13318,23.24459455
05/16/1990,214,6750,54,3703,2552,161,0.03917,0.09517,0.13434,23.33229725
05/17/1990,214,6750,54,3609,2484,158,0.03823,0.09446,0.13269,23.41999996
05/18/1990,209,6627,53,3546,2439,155,0.03755,0.09274,0.13029,23.50770266
05/19/1990,216,6795,54,3453,2371,151,0.03669,0.09371,0.1304,23.59540536
05/20/1990,193,6220,50,4820,3312,207,0.05013,0.09789,0.14802,23.68310807
05/21/1990,166,5510,45,4304,2971,186,0.0447,0.08712,0.13182,23.77081077
05/22/1990,160,5355,44,4082,2818,177,0.04242,0.08394,0.12636,23.85851347
05/23/1990,189,6124,49,3986,2752,173,0.04175,0.09098,0.13273,23.94621617
05/24/1990,191,6188,50,3266,2234,144,0.03457,0.08616,0.12073,24.03391888
05/25/1990,189,6140,49,3515,2416,154,0.03704,0.08759,0.12463,24.12162158
05/26/1990,242,7396,59,3515,2416,154,0.03757,0.10025,0.13782,24.20932428
05/27/1990,238,7296,58,3266,2234,144,0.03504,0.09732,0.13236,24.29702699
05/28/1990,205,6519,52,3112,2118,138,0.03317,0.08827,0.12144,24.38472969
05/29/1990,177,5813,47,3051,2072,135,0.03228,0.08067,0.11295,24.47243239
05/30/1990,157,5251,43,3081,2095,136,0.03238,0.07525,0.10763,24.56013509
05/31/1990,147,4968,41,3205,2187,141,0.03352,0.07337,0.10689,24.6478378
06/01/1990,142,4806,40,2837,1909,127,0.02979,0.06882,0.09861,24.7355405
06/02/1990,127,4364,37,2667,1778,120,0.02794,0.06299,0.09093,24.8232432
06/03/1990,108,3750,34,2898,1956,129,0.03006,0.05869,0.08875,24.91094591
06/04/1990,104,3592,33,2603,1728,117,0.02707,0.0547,0.08177,24.99864861
06/05/1990,103,3552,33,2661,1773,120,0.02764,0.05478,0.08242,25.08635131
06/06/1990,100,3473,32,2628,1747,118,0.02728,0.0537,0.08098,25.17405401
06/07/1990,94,3272,31,3236,2210,143,0.0333,0.05656,0.08986,25.26175672
06/08/1990,89,3089,30,2989,2025,133,0.03078,0.05277,0.08355,25.34945942
06/09/1990,89,3089,30,2715,1815,122,0.02804,0.05056,0.0786,25.43716212
06/10/1990,90,3109,30,2579,1710,116,0.02669,0.04965,0.07634,25.52486483
06/11/1990,90,3109,30,2519,1662,114,0.02609,0.04915,0.07524,25.61256753
06/12/1990,90,3109,30,2459,1615,112,0.02549,0.04866,0.07415,25.70027023
06/13/1990,88,3028,29,2310,1497,106,0.02398,0.0466,0.07058,25.78797293
06/14/1990,81,2780,28,2366,1542,108,0.02447,0.04458,0.06905,25.87567564
06/15/1990,72,2467,26,2334,1516,107,0.02406,0.04116,0.06522,25.96337834
06/16/1990,63,2108,24,1830,1114,87,0.01893,0.03333,0.05226,26.05108104
06/17/1990,57,1875,23,1644,966,79,0.01701,0.02943,0.04644,26.13878375
06/18/1990,53,1705,22,1766,1063,84,0.01819,0.02874,0.04693,26.22648645
06/19/1990,52,1684,22,1801,1091,86,0.01853,0.02883,0.04736,26.31418915
06/20/1990,50,1620,21,1699,1009,82,0.01749,0.02732,0.04481,26.40189185
06/21/1990,48,1514,21,1642,963,79,0.0169,0.02577,0.04267,26.48959456
06/22/1990,45,1388,20,1720,1026,82,0.01765,0.02516,0.04281,26.57729726
06/23/1990,44,1367,20,1587,920,77,0.01631,0.02384,0.04015,26.66499996
06/24/1990,45,1388,20,1283,679,65,0.01328,0.02152,0.0348,26.75270267
