Bay,DATE,Chl
US,07/08/2013,19.53
US,07/08/2013,17.27
US,10/01/2013,31.54
US,10/01/2013,16.77
US,01/08/2014,27.16
US,01/08/2014,12.95
US,04/07/2014,21.19
US,04/07/2014,17.31
US,07/09/2014,16.44
US,07/09/2014,15.93
US,10/08/2014,17.43
US,10/08/2014,10.12
US,01/19/2015,87.19
US,01/19/2015,32.27
US,04/20/2015,8.03
US,04/20/2015,22.82
US,07/07/2015,31.65
US,07/07/2015,21.44
US,10/06/2015,20.29
US,10/06/2015,9.44
US,01/20/2016,33.38
US,01/20/2016,24.40
US,04/04/2016,37.08
US,04/04/2016,33.16
US,07/12/2016,42.82
US,07/12/2016,41.01
