Bay,DATE,REP,N
US,01/28/1987,1,46
US,01/28/1987,2,70
US,01/28/1987,3,31
US,01/28/1987,1,100
US,01/28/1987,2,62
US,01/28/1987,3,72
US,03/04/1987,1,116
US,03/04/1987,2,141
US,03/04/1987,3,155
US,03/04/1987,1,50
US,03/04/1987,2,93
US,03/04/1987,3,58
US,04/08/1987,1,379
US,04/08/1987,2,86
US,04/08/1987,3,157
US,04/08/1987,1,73
US,04/08/1987,2,72
US,04/08/1987,3,70
US,06/03/1987,1,292
US,06/03/1987,2,223
US,06/03/1987,3,98
US,06/03/1987,1,100
US,06/03/1987,2,86
US,06/03/1987,3,42
US,07/15/1987,1,118
US,07/15/1987,2,114
US,07/15/1987,3,154
US,07/15/1987,1,46
US,07/15/1987,2,15
US,07/15/1987,3,61
US,04/18/1988,1,252
US,04/18/1988,2,352
US,04/18/1988,3,287
US,04/18/1988,1,617
US,04/18/1988,2,515
US,04/18/1988,3,657
US,07/07/1988,1,244
US,07/07/1988,2,268
US,07/07/1988,3,220
US,07/07/1988,1,192
US,07/07/1988,2,235
US,07/07/1988,3,160
US,11/22/1988,1,98
US,11/22/1988,2,84
US,11/22/1988,3,67
US,11/22/1988,1,147
US,11/22/1988,2,113
US,11/22/1988,3,103
US,04/04/1989,1,340
US,04/04/1989,2,387
US,04/04/1989,3,350
US,04/04/1989,1,211
US,04/04/1989,2,216
US,04/04/1989,3,246
US,07/23/1989,1,71
US,07/23/1989,2,103
US,07/23/1989,3,103
US,07/23/1989,1,133
US,07/23/1989,2,156
US,07/23/1989,3,141
US,12/05/1989,1,165
US,12/05/1989,2,115
US,12/05/1989,3,157
US,12/05/1989,1,100
US,12/05/1989,2,103
US,12/05/1989,3,113
US,04/11/1990,1,67
US,04/11/1990,2,73
US,04/11/1990,3,89
US,04/11/1990,1,76
US,04/11/1990,2,84
US,04/11/1990,3,91
US,08/02/1990,1,150
US,08/02/1990,2,150
US,08/02/1990,3,168
US,08/02/1990,1,96
US,08/02/1990,2,78
US,08/02/1990,3,92
US,10/19/1990,1,45
US,10/19/1990,2,65
US,10/19/1990,3,63
US,10/19/1990,1,48
US,10/19/1990,2,50
US,10/19/1990,3,59
US,01/23/1991,1,81
US,01/23/1991,2,110
US,01/23/1991,3,84
US,01/23/1991,1,25
US,01/23/1991,2,36
US,01/23/1991,3,31
US,04/22/1991,1,163
US,04/22/1991,2,196
US,04/22/1991,3,186
US,04/22/1991,1,15
US,04/22/1991,2,20
US,04/22/1991,3,18
US,07/17/1991,1,106
US,07/17/1991,2,57
US,07/17/1991,3,147
US,07/17/1991,1,40
US,07/17/1991,2,36
US,07/17/1991,3,49
US,10/15/1991,1,104
US,10/15/1991,2,140
US,10/15/1991,3,128
US,10/15/1991,1,241
US,10/15/1991,2,272
US,10/15/1991,3,291
US,01/20/1992,1,76
US,01/20/1992,2,72
US,01/20/1992,3,59
US,01/20/1992,1,127
US,01/20/1992,2,171
US,01/20/1992,3,88
US,04/06/1992,1,28
US,04/06/1992,2,46
US,04/06/1992,3,111
US,04/06/1992,1,120
US,04/06/1992,2,90
US,04/06/1992,3,88
US,07/12/1992,1,103
US,07/12/1992,2,94
US,07/12/1992,3,108
US,07/12/1992,1,14
US,07/12/1992,2,13
US,07/12/1992,3,27
US,10/07/1992,1,86
US,10/07/1992,2,23
US,10/07/1992,3,120
US,10/07/1992,1,107
US,10/07/1992,2,100
US,10/07/1992,3,136
US,01/12/1993,1,148
US,01/12/1993,2,169
US,01/12/1993,3,148
US,01/12/1993,1,94
US,01/12/1993,2,130
US,01/12/1993,3,93
