Bay,DATE,gm2
US,01/28/1987,0.0017707172
US,03/04/1987,0.0052360417
US,04/08/1987,0.0029825219
US,06/03/1987,0.005983244
US,07/15/1987,0.0049646927
US,04/18/1988,0.0099221054
US,07/07/1988,0.0111269608
US,11/22/1988,0.0121547776
US,04/04/1989,0.0052926279
US,07/23/1989,0.0037972305
US,12/05/1989,0.0059302978
US,04/11/1990,0.0047813668
US,08/02/1990,0.003524227
US,10/19/1990,0.0017889175
US,01/23/1991,0.0114608524
US,04/22/1991,0.0012151138
US,07/17/1991,0.0024166601
US,10/15/1991,0.0043799689
US,01/20/1992,0.0021042779
US,04/06/1992,0.0017879247
US,07/12/1992,0.0037224441
US,10/07/1992,0.005738699
US,01/12/1993,0.0040196043
US,04/05/1993,0.0055831698
US,07/09/1993,0.0020801212
US,10/11/1993,0.0026310919
US,01/05/1994,0.0025794694
US,04/07/1994,0.0024990575
US,07/07/1994,0.0163199838
US,10/20/1994,0.0175549523
US,01/10/1995,0.0198849131
US,04/05/1995,0.0256275831
US,07/06/1995,0.0079968516
US,10/04/1995,0.0080034699
US,01/10/1996,0.0016357046
US,04/03/1996,0.0250948126
US,07/10/1996,0.0147349089
US,10/15/1996,0.0032138303
US,01/22/1997,0.0022644399
US,04/07/1997,0.0023352554
US,07/08/1997,0.0003865068
US,10/16/1997,0.0004589768
US,01/12/1998,0.00099638
US,04/02/1998,0.0014020798
US,07/07/1998,0.0025013739
US,10/13/1998,0.0017813065
US,01/06/1999,0.0006767178
US,04/07/1999,0.0009331756
US,07/02/1999,0.0009814889
US,10/22/1999,0.049297152
US,01/25/2000,0.0007541515
US,04/24/2000,0.002745257
US,07/11/2000,0.0313775332
US,01/07/2004,0.00056884
US,04/07/2004,0.0028547893
US,07/07/2004,0.0020718484
US,10/05/2004,0.0155158644
US,01/05/2005,0.0028246762
US,04/13/2005,0.0057664957
US,07/06/2005,0.0068631425
US,10/11/2005,0.0228601549
US,01/06/2006,0.0278225312
US,04/06/2006,0.0258320875
US,07/12/2006,0.0186737703
US,10/11/2006,0.0084998399
US,01/08/2007,0.0114820308
US,04/04/2007,0.0233667832
US,07/25/2007,0.0057251316
US,10/03/2007,0.0112798428
US,01/09/2008,0.006571277
US,04/03/2008,0.0440578012
US,07/09/2008,0.0256666309
US,10/08/2008,0.0218889243
US,01/08/2009,0.0460399721
US,04/08/2009,0.0310598564
US,07/08/2009,0.0106560712
US,10/14/2009,0.0073356868
US,01/06/2010,0.0077149135
US,04/05/2010,0.0094532012
US,07/15/2010,0.010717621
US,10/21/2010,0.0003272733
US,01/06/2011,0.0149552972
US,04/04/2011,0.0015635655
US,07/11/2011,0.0019070535
US,10/03/2011,0.0021747624
US,01/04/2012,0.0059362543
US,04/02/2012,0.0014275601
US,07/10/2012,0.0009427721
US,10/02/2012,0.0002683707
US,01/11/2013,0.0107910838
US,04/15/2013,0.0020248587
US,07/08/2013,0.0018157215
US,10/01/2013,0.007674542
US,01/08/2014,0.001611217
US,04/07/2014,0.0047998979
US,07/09/2014,0.002760479
US,10/08/2014,0.0007922065
US,01/19/2015,0.0030490355
US,04/20/2015,0.0012769946
US,07/07/2015,0.0011121997
US,10/06/2015,0.0001283944
US,01/20/2016,0.0007455477
US,04/04/2016,0.0051734991
US,07/12/2016,0.0088701319
US,10/03/2016,0.0070590432
US,02/22/2017,0.0043994928
US,04/07/2017,0.0048081707
US,07/05/2017,0.0171396561
US,10/09/2017,0.0028739823
US,01/09/2018,0.0009374775
